Gene 1,Gene 2,cv,train
Igf1,Apcs,0.6875,0.6875
Igf1,F7,0.875,0.8125
Igf1,Serpinf1,0.625,0.8125
Igf1,Ighv3-6,0.625,0.75
Igf1,Ctsd,0.8125,0.8125
Igf1,Psmb9,0.75,0.75
Igf1,Actb,0.5625,0.8125
Igf1,Fbln5,0.5625,0.75
Igf1,Heg1,0.6875,0.6875
Igf1,F2,0.5,0.625
Igf1,Igfals,0.625,0.6875
Igf1,Mcam,0.6875,0.75
Igf1,Clu,0.6875,0.75
Igf1,Slc3a2,0.75,0.75
Igf1,Saa1,0.6875,0.625
Igf1,Sord,0.625,0.625
Igf1,Dnpep,0.8125,0.8125
Igf1,Hp,0.75,0.75
Igf1,Apof,0.75,0.75
Igf1,B2m,0.75,0.75
Igf1,Angptl3,0.5,0.625
Igf1,Amy1,0.625,0.8125
Igf1,Apoc3,0.625,0.75
Igf1,Lrp1,0.5,0.6875
Igf1,Aldob,0.625,0.75
Igf1,Pcyox1,0.75,0.75
Igf1,Ttr,0.6875,0.75
Igf1,Apoa4,0.5625,0.625
Igf1,Plg,0.6875,0.8125
Igf1,Postn,0.625,0.625
Igf1,Hspa4,0.625,0.6875
Igf1,Saa4,0.4375,0.625
Igf1,Igkv9-120,0.8125,0.8125
Igf1,Itgam,0.6875,0.8125
Igf1,Ctss,0.6875,0.75
Igf1,Mbl2,0.6875,0.75
Igf1,Lgals3bp,0.625,0.75
Igf1,Tfpi,0.6875,0.8125
Igf1,Ces1c,0.8125,0.875
Igf1,Apoc4,0.9375,0.9375
Igf1,Timp3,0.625,0.6875
Igf1,Psap,0.6875,0.75
Igf1,Arf3,0.6875,0.6875
Igf1,F9,0.5625,0.75
Igf1,Ighm,0.625,0.75
Igf1,Col11a2,0.5,0.625
Igf1,Pkm,0.625,0.75
Igf1,Retnlg,0.5625,0.625
Igf1,Hsp90ab1,0.625,0.6875
Igf1,Igfbp3,0.6875,0.6875
Igf1,Iglc3,0.75,0.75
Igf1,Actr3,0.5625,0.6875
Igf1,Ighg1,0.5625,0.6875
Igf1,Sema4b,0.6875,0.6875
Igf1,Sbsn,0.625,0.8125
Igf1,Efemp2,0.6875,0.6875
Igf1,Ca1,0.4375,0.75
Igf1,Selenop,0.6875,0.75
Igf1,C1qa,0.625,0.75
Igf1,Serpina10,0.6875,0.875
Igf1,Ptgds,0.5,0.6875
Igf1,Lcp1,0.5,0.75
Igf1,Serpina1a,0.6875,0.6875
Igf1,Gnptg,0.75,0.875
Igf1,Hspa8,0.5625,0.6875
Igf1,Gpx1,0.5625,0.8125
Igf1,Icoslg,0.625,0.6875
Igf1,Serpina3n,0.625,0.75
Igf1,Ctsb,0.6875,0.75
Igf1,Pon3,0.4375,0.6875
Igf1,Ighv1-62-3,0.5,0.6875
Igf1,Cat,0.625,0.625
Igf1,Ca2,0.625,0.5625
Igf1,Ppia,0.625,0.6875
Igf1,C4b,0.375,0.625
Igf1,Vcl,0.8125,0.8125
Igf1,Cd5l,0.5625,0.6875
Igf1,Pla2g7,0.75,0.6875
Igf1,Orm2,0.5625,0.6875
Igf1,Hamp,0.625,0.6875
Igf1,C2,0.5625,0.75
Igf1,Ckm,0.5625,0.75
Igf1,Eef1a1,0.6875,0.8125
Igf1,Umod,0.75,0.75
Igf1,Pgk1,0.625,0.6875
Igf1,Prdx2,0.5625,0.75
Igf1,Qsox1,0.5625,0.625
Igf1,Orm1,0.625,0.75
Igf1,Cpq,0.5625,0.8125
Igf1,Adh1,0.75,0.75
Igf1,Apoh,0.4375,0.5625
Igf1,Ldha,0.5625,0.6875
Igf1,Cd44,0.75,0.75
Igf1,Nrp1,0.5,0.625
Igf1,Itih3,0.5,0.6875
Igf1,Eno1,0.5,0.625
Igf1,Met,0.625,0.6875
Igf1,Aldoa,0.625,0.5625
Igf1,C1qb,0.5625,0.6875
Apcs,F7,0.6875,0.8125
Apcs,Serpinf1,0.5625,0.875
Apcs,Ighv3-6,0.8125,0.875
Apcs,Ctsd,0.875,0.875
Apcs,Psmb9,0.6875,0.8125
Apcs,Actb,0.625,0.75
Apcs,Fbln5,0.8125,0.8125
Apcs,Heg1,0.75,0.6875
Apcs,F2,0.625,0.8125
Apcs,Igfals,0.5,0.6875
Apcs,Mcam,0.75,0.8125
Apcs,Clu,0.6875,0.6875
Apcs,Slc3a2,0.6875,0.6875
Apcs,Saa1,0.6875,0.75
Apcs,Sord,0.75,0.8125
Apcs,Dnpep,0.625,0.875
Apcs,Hp,0.75,0.8125
Apcs,Apof,0.75,0.6875
Apcs,B2m,0.875,0.875
Apcs,Angptl3,0.6875,0.75
Apcs,Amy1,0.75,0.6875
Apcs,Apoc3,0.625,0.75
Apcs,Lrp1,0.5625,0.625
Apcs,Aldob,0.8125,0.875
Apcs,Pcyox1,0.6875,0.75
Apcs,Ttr,0.6875,0.6875
Apcs,Apoa4,0.6875,0.6875
Apcs,Plg,0.6875,0.8125
Apcs,Postn,0.8125,0.875
Apcs,Hspa4,0.8125,0.75
Apcs,Saa4,0.5,0.8125
Apcs,Igkv9-120,0.75,0.8125
Apcs,Itgam,0.875,0.8125
Apcs,Ctss,0.6875,0.6875
Apcs,Mbl2,0.8125,0.875
Apcs,Lgals3bp,0.8125,0.8125
Apcs,Tfpi,0.5625,0.8125
Apcs,Ces1c,0.75,0.875
Apcs,Apoc4,0.875,0.875
Apcs,Timp3,0.625,0.6875
Apcs,Psap,0.875,0.75
Apcs,Arf3,0.6875,0.6875
Apcs,F9,0.75,0.75
Apcs,Ighm,0.625,0.75
Apcs,Col11a2,0.625,0.75
Apcs,Pkm,0.6875,0.8125
Apcs,Retnlg,0.625,0.75
Apcs,Hsp90ab1,0.6875,0.8125
Apcs,Igfbp3,0.875,0.8125
Apcs,Iglc3,0.8125,0.6875
Apcs,Actr3,0.5625,0.6875
Apcs,Ighg1,0.75,0.8125
Apcs,Sema4b,0.6875,0.6875
Apcs,Sbsn,0.5625,0.625
Apcs,Efemp2,0.625,0.6875
Apcs,Ca1,0.625,0.6875
Apcs,Selenop,0.6875,0.75
Apcs,C1qa,0.5625,0.6875
Apcs,Serpina10,0.6875,0.6875
Apcs,Ptgds,0.6875,0.75
Apcs,Lcp1,0.5625,0.6875
Apcs,Serpina1a,0.75,0.75
Apcs,Gnptg,0.625,0.8125
Apcs,Hspa8,0.625,0.75
Apcs,Gpx1,0.6875,0.8125
Apcs,Icoslg,0.6875,0.6875
Apcs,Serpina3n,0.5625,0.6875
Apcs,Ctsb,0.625,0.6875
Apcs,Pon3,0.6875,0.75
Apcs,Ighv1-62-3,0.5625,0.8125
Apcs,Cat,0.75,0.75
Apcs,Ca2,0.625,0.75
Apcs,Ppia,0.8125,0.8125
Apcs,C4b,0.375,0.6875
Apcs,Vcl,0.625,0.625
Apcs,Cd5l,0.625,0.75
Apcs,Pla2g7,0.875,0.6875
Apcs,Orm2,0.625,0.75
Apcs,Hamp,0.625,0.8125
Apcs,C2,0.6875,0.75
Apcs,Ckm,0.6875,0.625
Apcs,Eef1a1,0.6875,0.75
Apcs,Umod,0.8125,0.8125
Apcs,Pgk1,0.5625,0.75
Apcs,Prdx2,0.625,0.6875
Apcs,Qsox1,0.5625,0.8125
Apcs,Orm1,0.6875,0.8125
Apcs,Cpq,0.875,0.9375
Apcs,Adh1,0.8125,0.8125
Apcs,Apoh,0.5,0.75
Apcs,Ldha,0.75,0.75
Apcs,Cd44,0.625,0.75
Apcs,Nrp1,0.5625,0.6875
Apcs,Itih3,0.5,0.75
Apcs,Eno1,0.75,0.75
Apcs,Met,0.625,0.625
Apcs,Aldoa,0.6875,0.8125
Apcs,C1qb,0.5625,0.75
F7,Serpinf1,0.625,0.8125
F7,Ighv3-6,0.6875,0.75
F7,Ctsd,0.6875,0.875
F7,Psmb9,0.75,0.9375
F7,Actb,0.6875,0.75
F7,Fbln5,0.75,0.8125
F7,Heg1,0.625,0.75
F7,F2,0.9375,1.0
F7,Igfals,0.625,0.75
F7,Mcam,0.875,0.875
F7,Clu,0.6875,0.75
F7,Slc3a2,0.625,0.8125
F7,Saa1,0.75,0.8125
F7,Sord,0.625,0.8125
F7,Dnpep,0.625,0.8125
F7,Hp,0.6875,0.8125
F7,Apof,0.625,0.875
F7,B2m,0.75,0.8125
F7,Angptl3,0.75,0.75
F7,Amy1,0.8125,0.8125
F7,Apoc3,0.8125,0.875
F7,Lrp1,0.6875,0.8125
F7,Aldob,0.8125,0.8125
F7,Pcyox1,0.75,0.8125
F7,Ttr,0.75,0.8125
F7,Apoa4,0.6875,0.75
F7,Plg,0.75,0.8125
F7,Postn,0.6875,0.8125
F7,Hspa4,0.75,0.8125
F7,Saa4,0.5,0.75
F7,Igkv9-120,0.75,0.8125
F7,Itgam,0.75,0.8125
F7,Ctss,0.6875,0.875
F7,Mbl2,0.6875,0.75
F7,Lgals3bp,0.875,0.8125
F7,Tfpi,0.75,0.8125
F7,Ces1c,0.6875,0.6875
F7,Apoc4,0.625,0.75
F7,Timp3,0.8125,0.8125
F7,Psap,0.8125,0.8125
F7,Arf3,0.75,0.75
F7,F9,0.6875,0.75
F7,Ighm,0.5625,0.8125
F7,Col11a2,0.6875,0.9375
F7,Pkm,0.75,0.8125
F7,Retnlg,0.625,0.75
F7,Hsp90ab1,0.6875,0.8125
F7,Igfbp3,0.6875,0.8125
F7,Iglc3,0.6875,0.8125
F7,Actr3,0.6875,0.8125
F7,Ighg1,0.75,0.875
F7,Sema4b,0.75,0.8125
F7,Sbsn,0.625,0.8125
F7,Efemp2,0.6875,0.8125
F7,Ca1,0.6875,0.8125
F7,Selenop,0.75,0.875
F7,C1qa,0.625,0.8125
F7,Serpina10,0.8125,0.8125
F7,Ptgds,0.6875,0.8125
F7,Lcp1,0.75,0.8125
F7,Serpina1a,0.6875,0.75
F7,Gnptg,0.75,0.875
F7,Hspa8,0.8125,0.8125
F7,Gpx1,0.6875,0.8125
F7,Icoslg,0.75,0.8125
F7,Serpina3n,0.5625,0.75
F7,Ctsb,0.75,0.8125
F7,Pon3,0.625,0.875
F7,Ighv1-62-3,0.875,0.9375
F7,Cat,0.6875,0.6875
F7,Ca2,0.75,0.875
F7,Ppia,0.6875,0.8125
F7,C4b,0.75,0.75
F7,Vcl,0.75,0.8125
F7,Cd5l,0.6875,0.8125
F7,Pla2g7,0.75,0.875
F7,Orm2,0.5625,0.8125
F7,Hamp,0.75,0.875
F7,C2,0.6875,0.75
F7,Ckm,0.75,0.8125
F7,Eef1a1,0.625,0.8125
F7,Umod,0.8125,0.875
F7,Pgk1,0.6875,0.8125
F7,Prdx2,0.6875,0.8125
F7,Qsox1,0.6875,0.8125
F7,Orm1,0.6875,0.8125
F7,Cpq,0.875,1.0
F7,Adh1,0.5625,0.75
F7,Apoh,0.6875,0.8125
F7,Ldha,0.6875,0.8125
F7,Cd44,0.75,0.8125
