Gene 1,Gene 2,cv,train
Cndp2,Sptb,0.8125,0.9375
Cndp2,Mavs,0.75,0.875
Cndp2,Alad,0.875,0.9375
Cndp2,Kpna6,0.8125,0.9375
Cndp2,Mapre1,0.875,0.875
Cndp2,Sumo2,0.8125,0.875
Cndp2,Mtx2,0.9375,0.9375
Cndp2,Tmem11,0.6875,0.75
Cndp2,Eno1,0.875,0.875
Cndp2,Lrpprc,0.6875,0.875
Cndp2,Acss1,0.75,0.875
Cndp2,Pin4,0.75,0.875
Cndp2,Myo1c,0.75,0.8125
Cndp2,Gfm2,0.875,0.9375
Cndp2,Pam16,0.6875,0.75
Cndp2,Obscn,0.8125,0.875
Cndp2,Taldo1,0.8125,0.875
Cndp2,Rdx,0.875,0.875
Cndp2,Cltc,0.75,0.8125
Cndp2,Uqcc2,0.8125,0.875
Cndp2,Acadsb,0.75,0.8125
Cndp2,Hspb8,0.875,0.875
Cndp2,Ccdc22,0.8125,0.8125
Cndp2,Sbk2,0.6875,0.875
Cndp2,Ybx2,0.75,0.875
Cndp2,Adi1,0.8125,0.75
Cndp2,Esd,0.75,0.8125
Cndp2,Vars1,0.75,0.8125
Cndp2,Vapa,0.8125,0.8125
Cndp2,Nt5c1a,0.6875,0.8125
Cndp2,Gbe1,0.8125,0.8125
Cndp2,Gna11,0.8125,0.875
Cndp2,Hsd17b4,0.875,0.9375
Cndp2,Bcl2l13,0.8125,0.875
Cndp2,Rab1b,0.75,0.8125
Cndp2,Ahsa1,0.8125,0.875
Cndp2,Capn2,0.875,0.875
Cndp2,Rbm12,0.6875,0.8125
Cndp2,Manf,0.8125,0.9375
Cndp2,Tpm1,0.8125,0.875
Cndp2,Pex19,0.8125,1.0
Cndp2,Atxn2l,0.875,0.875
Cndp2,Bola3,0.8125,0.8125
Cndp2,Coro1c,0.6875,0.8125
Cndp2,Dynlrb1,0.75,0.875
Cndp2,Lgals1,0.8125,0.8125
Cndp2,Cep89,0.75,0.8125
Cndp2,Pank4,0.875,0.9375
Cndp2,Ndufb11,0.875,1.0
Cndp2,Cox4i1,0.9375,0.9375
Cndp2,Ndufa12,0.75,0.875
Cndp2,Actr2,0.625,0.8125
Cndp2,Cpt2,0.6875,0.8125
Cndp2,Ppp2ca,0.875,0.9375
Cndp2,Gsk3b,0.6875,0.75
Cndp2,Rab1A,0.6875,0.8125
Cndp2,Lamtor5,0.75,0.8125
Cndp2,Top1,0.75,0.875
Cndp2,Mtr,0.8125,0.875
Cndp2,Lta4h,0.75,0.75
Cndp2,Mgst3,0.75,0.875
Cndp2,Sod2,0.6875,0.75
Cndp2,Ttll12,0.75,0.8125
Cndp2,Tmed9,0.8125,0.8125
Cndp2,Prnp,0.875,0.875
Cndp2,Ndufv1,0.8125,0.875
Cndp2,Mrpl12,0.6875,0.875
Cndp2,Ucp3,0.8125,0.875
Cndp2,Ddah1,0.9375,0.9375
Cndp2,Rps20,0.8125,0.8125
Cndp2,Skp1,0.8125,0.9375
Cndp2,Smpx,0.8125,0.875
Cndp2,Cpped1,0.6875,0.8125
Cndp2,Ehd1,0.8125,0.875
Cndp2,Grcc10,0.875,0.8125
Cndp2,Tor1aip1,0.6875,0.8125
Cndp2,Sdhaf2,0.75,0.875
Cndp2,Atp5mg,0.625,0.8125
Cndp2,Hmbs,0.6875,0.875
Cndp2,Ube2g2,0.6875,0.875
Cndp2,Prxl2a,0.8125,0.875
Cndp2,Oplah,0.75,0.8125
Cndp2,Pmp2,0.8125,0.875
Cndp2,Smad4,0.75,0.8125
Cndp2,Atp1b1,0.8125,0.8125
Cndp2,Cisd1,0.8125,0.8125
Cndp2,P33monox,0.5625,0.8125
Cndp2,Itga6,0.8125,0.9375
Cndp2,Ppp1r11,0.6875,0.75
Cndp2,Dctn2,0.8125,0.8125
Cndp2,Ppp3r1,0.75,0.875
Cndp2,Mrpl21,0.75,0.875
Cndp2,Ppp1r12a,0.75,0.9375
Cndp2,Tra2b,0.75,0.8125
Cndp2,Etfrf1,0.75,0.75
Cndp2,Tmem126a,0.75,0.8125
Cndp2,Phb2,0.8125,0.875
Cndp2,L2hgdh,0.875,0.8125
Cndp2,Myl1,0.8125,0.8125
Sptb,Mavs,0.8125,0.8125
Sptb,Alad,0.9375,0.9375
Sptb,Kpna6,0.6875,0.8125
Sptb,Mapre1,0.8125,0.8125
Sptb,Sumo2,0.5625,0.8125
Sptb,Mtx2,0.8125,0.875
Sptb,Tmem11,0.75,0.8125
Sptb,Eno1,0.6875,0.875
Sptb,Lrpprc,0.875,0.9375
Sptb,Acss1,0.75,0.875
Sptb,Pin4,0.6875,0.875
Sptb,Myo1c,0.6875,0.875
Sptb,Gfm2,0.75,0.8125
Sptb,Pam16,0.625,0.875
Sptb,Obscn,0.8125,1.0
Sptb,Taldo1,0.75,0.8125
Sptb,Rdx,0.6875,0.8125
Sptb,Cltc,0.8125,0.8125
Sptb,Uqcc2,0.6875,0.875
Sptb,Acadsb,0.6875,0.8125
Sptb,Hspb8,0.75,0.875
Sptb,Ccdc22,0.75,0.875
Sptb,Sbk2,0.6875,0.9375
Sptb,Ybx2,0.625,0.8125
Sptb,Adi1,0.8125,0.875
Sptb,Esd,0.8125,0.9375
Sptb,Vars1,0.8125,0.8125
Sptb,Vapa,0.8125,1.0
Sptb,Nt5c1a,0.625,0.8125
Sptb,Gbe1,0.875,0.875
Sptb,Gna11,0.875,0.875
Sptb,Hsd17b4,0.8125,0.8125
Sptb,Bcl2l13,0.8125,0.875
Sptb,Rab1b,0.75,0.8125
Sptb,Ahsa1,0.6875,0.875
Sptb,Capn2,0.6875,0.9375
Sptb,Rbm12,0.6875,0.875
Sptb,Manf,0.875,0.9375
Sptb,Tpm1,0.625,0.8125
Sptb,Pex19,0.875,0.9375
Sptb,Atxn2l,0.6875,0.8125
Sptb,Bola3,0.75,0.875
Sptb,Coro1c,0.75,0.8125
Sptb,Dynlrb1,0.875,0.9375
Sptb,Lgals1,0.5625,0.8125
Sptb,Cep89,0.6875,0.9375
Sptb,Pank4,0.8125,0.875
Sptb,Ndufb11,0.875,0.875
Sptb,Cox4i1,0.75,0.9375
Sptb,Ndufa12,0.8125,0.8125
Sptb,Actr2,0.75,0.875
Sptb,Cpt2,0.6875,0.9375
Sptb,Ppp2ca,0.75,0.875
Sptb,Gsk3b,0.625,0.875
Sptb,Rab1A,0.75,0.8125
Sptb,Lamtor5,0.875,0.875
Sptb,Top1,0.6875,0.875
Sptb,Mtr,0.8125,0.8125
Sptb,Lta4h,0.8125,0.9375
Sptb,Mgst3,0.8125,0.875
Sptb,Sod2,0.75,0.875
Sptb,Ttll12,0.75,0.9375
Sptb,Tmed9,0.6875,0.875
Sptb,Prnp,0.8125,0.875
Sptb,Ndufv1,0.6875,0.875
Sptb,Mrpl12,0.8125,0.8125
Sptb,Ucp3,0.6875,0.875
Sptb,Ddah1,0.8125,0.8125
Sptb,Rps20,0.75,0.8125
Sptb,Skp1,0.8125,0.8125
Sptb,Smpx,0.6875,0.875
Sptb,Cpped1,0.6875,0.875
Sptb,Ehd1,0.8125,0.9375
Sptb,Grcc10,0.6875,0.875
Sptb,Tor1aip1,0.75,0.9375
Sptb,Sdhaf2,0.6875,0.8125
Sptb,Atp5mg,0.75,0.8125
Sptb,Hmbs,0.8125,0.8125
Sptb,Ube2g2,0.8125,0.8125
Sptb,Prxl2a,0.6875,0.875
Sptb,Oplah,0.6875,0.8125
Sptb,Pmp2,0.75,0.875
Sptb,Smad4,0.875,0.875
Sptb,Atp1b1,0.8125,0.875
Sptb,Cisd1,0.6875,0.8125
Sptb,P33monox,0.8125,0.875
Sptb,Itga6,0.875,0.8125
Sptb,Ppp1r11,0.75,0.8125
Sptb,Dctn2,0.6875,0.8125
Sptb,Ppp3r1,0.875,0.875
Sptb,Mrpl21,0.8125,0.8125
Sptb,Ppp1r12a,0.8125,0.8125
Sptb,Tra2b,0.8125,0.875
Sptb,Etfrf1,0.8125,0.8125
Sptb,Tmem126a,0.8125,0.8125
Sptb,Phb2,0.8125,0.8125
Sptb,L2hgdh,0.875,0.9375
Sptb,Myl1,0.75,0.8125
Mavs,Alad,0.9375,0.9375
Mavs,Kpna6,0.8125,0.875
Mavs,Mapre1,0.5625,0.6875
Mavs,Sumo2,0.625,0.6875
Mavs,Mtx2,0.6875,0.875
Mavs,Tmem11,0.75,0.75
Mavs,Eno1,0.6875,0.8125
Mavs,Lrpprc,0.875,0.9375
Mavs,Acss1,0.6875,0.8125
Mavs,Pin4,0.5625,0.6875
Mavs,Myo1c,0.6875,0.75
Mavs,Gfm2,0.4375,0.75
Mavs,Pam16,0.5625,0.75
Mavs,Obscn,0.6875,0.875
Mavs,Taldo1,0.625,0.875
Mavs,Rdx,0.5625,0.875
Mavs,Cltc,0.75,0.8125
Mavs,Uqcc2,0.6875,0.75
Mavs,Acadsb,0.6875,0.75
Mavs,Hspb8,0.6875,0.8125
Mavs,Ccdc22,0.6875,0.6875
Mavs,Sbk2,0.75,0.75
Mavs,Ybx2,0.6875,0.75
Mavs,Adi1,0.5625,0.6875
Mavs,Esd,0.625,0.6875
Mavs,Vars1,0.75,0.8125
Mavs,Vapa,0.5625,0.75
Mavs,Nt5c1a,0.5,0.6875
Mavs,Gbe1,0.5625,0.75
Mavs,Gna11,0.6875,0.75
Mavs,Hsd17b4,0.5,0.75
Mavs,Bcl2l13,0.8125,0.875
Mavs,Rab1b,0.875,0.875
Mavs,Ahsa1,0.6875,0.75
Mavs,Capn2,0.8125,0.8125
Mavs,Rbm12,0.625,0.875
Mavs,Manf,0.8125,0.9375
Mavs,Tpm1,0.6875,0.75
Mavs,Pex19,0.75,0.9375
Mavs,Atxn2l,0.5625,0.75
Mavs,Bola3,0.5625,0.75
Mavs,Coro1c,0.5625,0.6875
Mavs,Dynlrb1,0.75,0.875
Mavs,Lgals1,0.625,0.75
Mavs,Cep89,0.6875,0.75
Mavs,Pank4,0.625,0.9375
Mavs,Ndufb11,0.5625,0.75
Mavs,Cox4i1,0.6875,0.9375
Mavs,Ndufa12,0.5,0.75
Mavs,Actr2,0.5625,0.6875
Mavs,Cpt2,0.75,0.8125
Mavs,Ppp2ca,0.75,0.875
Mavs,Gsk3b,0.625,0.75
Mavs,Rab1A,0.5,0.75
Mavs,Lamtor5,0.5,0.75
Mavs,Top1,0.5625,0.75
Mavs,Mtr,0.625,0.6875
Mavs,Lta4h,0.625,0.6875
Mavs,Mgst3,0.6875,0.8125
Mavs,Sod2,0.5,0.625
Mavs,Ttll12,0.625,0.6875
Mavs,Tmed9,0.75,0.75
Mavs,Prnp,0.5625,0.75
Mavs,Ndufv1,0.75,0.8125
Mavs,Mrpl12,0.625,0.8125
Mavs,Ucp3,0.75,0.8125
Mavs,Ddah1,0.6875,0.625
Mavs,Rps20,0.3125,0.75
Mavs,Skp1,0.5625,0.8125
Mavs,Smpx,0.6875,0.6875
