Gene 1,Gene 2,cv,train
Mcc,Zfp580,0.7999999999999999,0.8666666666666667
Mcc,Tmem259,0.7999999999999999,0.8
Mcc,Cox18,0.9333333333333332,1.0
Mcc,Gadd45gip1,0.7333333333333333,0.8666666666666667
Mcc,Hint2,0.6,0.8
Mcc,Gm26982,0.8666666666666666,1.0
Mcc,Gm48088,0.8,1.0
Mcc,Vegfc,0.7999999999999999,0.8666666666666667
Mcc,Tcf15,0.9333333333333332,1.0
Mcc,Ndufab1,0.7333333333333333,0.8666666666666667
Mcc,Cdc25a,0.6,0.9333333333333333
Mcc,Tmem88,0.8666666666666666,0.9333333333333333
Mcc,Cox5b,0.7999999999999999,0.8
Mcc,Gm2541,0.7333333333333333,0.8666666666666667
Mcc,Scube2,0.8666666666666666,0.9333333333333333
Mcc,AI838599,0.7333333333333333,0.9333333333333333
Mcc,Snx24,0.9333333333333332,1.0
Mcc,Atxn1,0.7333333333333332,0.8666666666666667
Mcc,Car8,0.7999999999999999,0.8666666666666667
Mcc,Prdm9,0.7999999999999999,0.9333333333333333
Mcc,Cox5a,0.7999999999999999,0.8666666666666667
Mcc,Mis12,0.8666666666666666,1.0
Mcc,1110065P20Rik,0.7333333333333333,0.9333333333333333
Mcc,Ldlrad3,0.7333333333333333,0.8666666666666667
Mcc,Endog,0.7999999999999999,0.8666666666666667
Mcc,Mrps34,0.7333333333333333,0.8
Mcc,Men1,0.7999999999999999,0.8666666666666667
Mcc,Etv4,0.8666666666666666,1.0
Mcc,Dazap1,0.7999999999999999,0.8666666666666667
Mcc,Supt20,0.8666666666666666,0.9333333333333333
Mcc,Snx3,0.8666666666666666,1.0
Mcc,Kbtbd3,0.8666666666666666,0.8666666666666667
Mcc,Stx5a,0.7999999999999999,0.8666666666666667
Mcc,Lbx1,0.7333333333333333,0.9333333333333333
Mcc,Gabbr1,0.7333333333333333,0.8666666666666667
Mcc,Slc6a2,0.7333333333333333,1.0
Mcc,Tpmt,0.7999999999999999,0.9333333333333333
Mcc,Fbxl15,0.7333333333333333,0.9333333333333333
Mcc,Cxcl12,0.7999999999999999,0.8666666666666667
Mcc,Tpgs1,0.7999999999999999,0.9333333333333333
Mcc,Jkamp,0.7999999999999999,1.0
Mcc,Ccnl2,0.7999999999999999,0.8666666666666667
Mcc,Chchd2,0.8666666666666666,1.0
Mcc,Atg4d,0.7333333333333333,0.8
Mcc,Vps35l,0.6666666666666666,0.8
Mcc,Arhgap32,0.8666666666666666,0.8666666666666667
Mcc,Trir,0.7999999999999999,0.9333333333333333
Mcc,Zfp513,0.9333333333333332,1.0
Mcc,Chchd7,0.7999999999999999,0.8666666666666667
Mcc,Epop,0.7999999999999999,1.0
Mcc,P3h2,0.7999999999999999,0.8666666666666667
Mcc,Srsf2,0.8,1.0
Mcc,Msx1,0.7999999999999999,0.9333333333333333
Mcc,Lsm4,0.7999999999999999,0.9333333333333333
Mcc,Ifi203,0.8666666666666666,0.9333333333333333
Mcc,1190007I07Rik,1.0,1.0
Mcc,Prrx1,0.7333333333333332,0.9333333333333333
Mcc,H2aj,0.7999999999999999,0.8666666666666667
Mcc,Mpc2,0.6666666666666667,0.8
Mcc,Hnmt,0.7333333333333332,0.9333333333333333
Mcc,Tmem203,0.7333333333333333,0.8
Mcc,Atp5d,0.7999999999999999,0.8666666666666667
Mcc,Lgi1,0.7999999999999999,1.0
Mcc,Gfra1,0.7999999999999999,0.8
Mcc,Yjefn3,0.7999999999999999,0.9333333333333333
Mcc,Rrp9,0.8666666666666666,0.9333333333333333
Mcc,Mcrip2,0.7999999999999999,0.9333333333333333
Mcc,Hmg20b,0.7999999999999999,0.9333333333333333
Mcc,Stard13,0.7999999999999999,0.9333333333333333
Mcc,Gm37621,0.7999999999999999,0.8
Mcc,Als2cl,0.7999999999999999,0.9333333333333333
Mcc,Ccdc85b,0.7333333333333333,0.8
Mcc,Esd,0.8666666666666666,1.0
Mcc,Manea,0.7999999999999999,0.9333333333333333
Mcc,Fam43a,0.7999999999999999,0.8666666666666667
Mcc,Pcdhgb2,0.7999999999999999,0.9333333333333333
Mcc,Spr,0.8666666666666666,1.0
Mcc,Irf4,0.7333333333333332,0.9333333333333333
Mcc,Itga2,0.6,0.8
Mcc,Resf1,0.7999999999999999,0.9333333333333333
Mcc,Kcnk2,0.7333333333333333,0.8666666666666667
Mcc,Mir5125,0.7333333333333333,0.8
Mcc,Gm13841,0.6666666666666666,0.8666666666666667
Mcc,Enpp1,0.7999999999999999,0.8666666666666667
Mcc,Nog,0.7333333333333332,0.9333333333333333
Mcc,Clta,0.7333333333333333,0.8666666666666667
Mcc,Rnaseh2c,0.8666666666666666,0.9333333333333333
Mcc,Cdkl1,0.7333333333333333,0.9333333333333333
Mcc,Pstk,0.8666666666666666,0.9333333333333333
Mcc,Gm13882,0.7333333333333332,0.9333333333333333
Mcc,Gm3724,0.7333333333333333,0.8666666666666667
Mcc,Gm44698,0.8666666666666666,0.9333333333333333
Mcc,Gtf3a,0.7333333333333333,0.8666666666666667
Mcc,Stk38l,0.7333333333333333,0.8666666666666667
Mcc,Tctn1,0.7999999999999999,0.8666666666666667
Mcc,Ier5l,0.7999999999999999,0.9333333333333333
Mcc,Plscr1,0.8,0.8666666666666667
Mcc,Ift140,0.7333333333333332,0.9333333333333333
Mcc,Trappc13,0.7333333333333332,0.9333333333333333
Zfp580,Tmem259,0.8666666666666666,0.9333333333333333
Zfp580,Cox18,0.7999999999999999,0.9333333333333333
Zfp580,Gadd45gip1,0.7999999999999999,0.8666666666666667
Zfp580,Hint2,0.8,0.9333333333333333
Zfp580,Gm26982,0.7333333333333333,0.8666666666666667
Zfp580,Gm48088,0.8666666666666666,1.0
Zfp580,Vegfc,0.7999999999999999,0.8666666666666667
Zfp580,Tcf15,0.8666666666666666,0.8666666666666667
Zfp580,Ndufab1,0.7333333333333332,0.8666666666666667
Zfp580,Cdc25a,0.6666666666666667,0.9333333333333333
Zfp580,Tmem88,0.8666666666666666,0.8666666666666667
Zfp580,Cox5b,0.8666666666666666,0.9333333333333333
Zfp580,Gm2541,0.7999999999999999,0.9333333333333333
Zfp580,Scube2,0.7333333333333333,0.8666666666666667
Zfp580,AI838599,0.8,0.9333333333333333
Zfp580,Snx24,0.7999999999999999,0.9333333333333333
Zfp580,Atxn1,0.7999999999999999,0.8666666666666667
Zfp580,Car8,0.7333333333333333,0.9333333333333333
Zfp580,Prdm9,0.7999999999999999,0.8666666666666667
Zfp580,Cox5a,0.8,0.9333333333333333
Zfp580,Mis12,0.7999999999999999,1.0
Zfp580,1110065P20Rik,0.7333333333333333,0.9333333333333333
Zfp580,Ldlrad3,0.8666666666666666,0.9333333333333333
Zfp580,Endog,0.8,0.9333333333333333
Zfp580,Mrps34,0.7333333333333332,0.9333333333333333
Zfp580,Men1,0.8666666666666666,0.8666666666666667
Zfp580,Etv4,0.7999999999999999,1.0
Zfp580,Dazap1,0.8666666666666666,0.8666666666666667
Zfp580,Supt20,0.8,0.9333333333333333
Zfp580,Snx3,0.8,0.9333333333333333
Zfp580,Kbtbd3,0.8666666666666666,0.9333333333333333
Zfp580,Stx5a,0.8666666666666666,0.8666666666666667
Zfp580,Lbx1,0.9333333333333332,0.9333333333333333
Zfp580,Gabbr1,0.8666666666666666,0.9333333333333333
Zfp580,Slc6a2,0.8,0.8666666666666667
Zfp580,Tpmt,0.8666666666666666,0.8666666666666667
Zfp580,Fbxl15,0.8,0.8666666666666667
Zfp580,Cxcl12,0.7999999999999999,0.9333333333333333
Zfp580,Tpgs1,0.7999999999999999,0.9333333333333333
Zfp580,Jkamp,0.7999999999999999,0.9333333333333333
Zfp580,Ccnl2,0.8666666666666666,0.8666666666666667
Zfp580,Chchd2,0.8,0.8666666666666667
Zfp580,Atg4d,0.7999999999999999,0.9333333333333333
Zfp580,Vps35l,0.9333333333333332,0.9333333333333333
Zfp580,Arhgap32,0.8666666666666666,0.9333333333333333
Zfp580,Trir,0.7333333333333333,0.9333333333333333
Zfp580,Zfp513,0.7999999999999999,1.0
Zfp580,Chchd7,0.7999999999999999,0.9333333333333333
Zfp580,Epop,0.6666666666666667,0.9333333333333333
Zfp580,P3h2,0.7333333333333333,0.9333333333333333
Zfp580,Srsf2,0.7999999999999999,0.8666666666666667
Zfp580,Msx1,0.8666666666666666,0.8666666666666667
Zfp580,Lsm4,0.7999999999999999,0.9333333333333333
Zfp580,Ifi203,0.8666666666666666,0.9333333333333333
