Gene 1,Gene 2,cv,train
Igf1,Adipoq,0.6875,0.875
Igf1,Chga,0.8125,1.0
Igf1,Cd44,0.75,0.8125
Igf1,Cfb,0.6875,0.8125
Igf1,Ltf,0.9375,1.0
Igf1,Selenop,0.8125,0.875
Igf1,Dpp4,0.875,0.9375
Igf1,Mbl2,0.8125,0.8125
Igf1,Pcyox1,0.6875,0.875
Igf1,Cpn2,0.8125,0.9375
Igf1,Gm10881,0.875,0.875
Igf1,F13b,0.9375,1.0
Igf1,F2,0.875,0.875
Igf1,Ccl8,0.8125,0.8125
Igf1,Psmb3,0.875,0.875
Igf1,Hp,0.8125,0.8125
Igf1,Ighv1-62-3,0.9375,1.0
Igf1,Spp1,0.9375,1.0
Igf1,Ext2,0.875,0.9375
Igf1,Mmrn1,0.75,0.8125
Igf1,Efemp2,0.875,0.875
Igf1,Sod3,0.8125,0.8125
Igf1,Ctsd,0.875,0.875
Igf1,Proc,0.875,0.9375
Igf1,Procr,0.8125,0.8125
Igf1,Hpx,0.8125,0.8125
Igf1,Psmb5,0.8125,0.75
Igf1,Loxl1,0.75,0.8125
Igf1,Arpc1b,0.875,0.8125
Igf1,Calr,0.9375,0.9375
Igf1,Igfbp3,0.8125,0.8125
Igf1,Adgre5,0.75,0.875
Igf1,Ces1c,0.6875,0.8125
Igf1,Sbsn,0.8125,0.8125
Igf1,Lbp,0.6875,0.8125
Igf1,Man2b1,0.75,0.8125
Igf1,Pgam1,0.6875,0.8125
Igf1,Plxdc2,0.8125,0.8125
Igf1,Ctss,0.75,0.8125
Igf1,Psmb2,0.9375,0.9375
Igf1,Kng1,1.0,1.0
Igf1,Lrrn4,0.75,0.75
Igf1,Pon3,0.8125,0.875
Igf1,Itgb2,0.8125,0.8125
Igf1,Nrp1,0.6875,0.8125
Igf1,Vtn,0.75,0.8125
Igf1,Cd5l,0.8125,0.8125
Igf1,Apoc2,0.9375,1.0
Igf1,Ctsz,0.6875,0.875
Igf1,Heg1,0.8125,0.8125
Igf1,Apod,0.75,0.8125
Igf1,Actb,0.75,1.0
Igf1,Pi16,0.75,0.9375
Igf1,Hamp,0.8125,0.875
Igf1,Psma2,0.9375,0.875
Igf1,Ighg1,0.75,0.8125
Igf1,Psmb9,0.8125,0.8125
Igf1,Angptl3,0.875,0.875
Igf1,Hspa5,0.75,0.8125
Igf1,Mbl1,0.8125,0.9375
Igf1,Met,0.75,0.875
Igf1,Serping1,0.8125,0.875
Igf1,Ctbs,0.75,0.8125
Igf1,Serpinf1,0.875,0.875
Igf1,Gnptg,0.8125,0.875
Igf1,Pon1,0.9375,0.9375
Igf1,Hba,0.75,0.8125
Igf1,Icoslg,0.8125,0.8125
Igf1,Hgfac,0.8125,0.875
Igf1,Pla2g7,0.75,0.8125
Igf1,Mup20,0.8125,0.8125
Igf1,Olfm1,0.8125,0.8125
Igf1,Psmb4,0.8125,0.8125
Igf1,Ganab,0.6875,0.8125
Igf1,Igfals,0.8125,0.8125
Igf1,Serpina1d,0.8125,0.8125
Igf1,B2m,0.875,0.9375
Igf1,Pnliprp1,0.875,0.9375
Igf1,Capn1,0.6875,0.8125
Igf1,Fbln1,0.75,0.875
Igf1,Pfn1,0.8125,0.8125
Igf1,Apcs,0.75,0.8125
Igf1,Psmb1,0.875,0.9375
Igf1,Mup3,0.75,0.875
Igf1,Prdx2,0.75,0.8125
Igf1,Ckm,0.75,0.75
Igf1,Fcn1,0.8125,0.8125
Igf1,Ighg2b,0.6875,0.8125
Igf1,Hyou1,0.875,0.875
Igf1,Ywhae,0.8125,0.8125
Igf1,Apoa2,0.75,0.8125
Igf1,Igfbp6,0.8125,0.8125
Igf1,Ctsl,0.8125,0.875
Igf1,Cd248,0.8125,0.8125
Igf1,Ces3a,0.875,0.875
Igf1,Igkv9-120,0.75,0.875
Igf1,Aldoa,0.75,0.8125
Igf1,Pcolce,0.8125,0.875
Igf1,Ghr,0.75,0.8125
Adipoq,Chga,0.9375,0.9375
Adipoq,Cd44,0.6875,0.875
Adipoq,Cfb,0.75,0.75
Adipoq,Ltf,0.9375,1.0
Adipoq,Selenop,0.8125,0.9375
Adipoq,Dpp4,0.8125,0.9375
Adipoq,Mbl2,0.8125,0.875
Adipoq,Pcyox1,0.6875,0.75
Adipoq,Cpn2,0.875,0.9375
Adipoq,Gm10881,0.8125,0.9375
Adipoq,F13b,0.875,0.9375
Adipoq,F2,0.875,0.9375
Adipoq,Ccl8,0.875,1.0
Adipoq,Psmb3,0.875,1.0
Adipoq,Hp,0.75,0.875
Adipoq,Ighv1-62-3,0.8125,0.9375
Adipoq,Spp1,0.6875,0.875
Adipoq,Ext2,0.8125,0.9375
Adipoq,Mmrn1,0.75,0.875
Adipoq,Efemp2,1.0,1.0
Adipoq,Sod3,0.875,0.9375
Adipoq,Ctsd,0.8125,0.9375
Adipoq,Proc,0.625,0.875
Adipoq,Procr,0.8125,0.875
Adipoq,Hpx,0.75,0.9375
Adipoq,Psmb5,0.6875,0.875
Adipoq,Loxl1,0.75,0.875
Adipoq,Arpc1b,0.6875,0.875
Adipoq,Calr,0.875,1.0
Adipoq,Igfbp3,0.8125,0.9375
Adipoq,Adgre5,0.6875,0.875
Adipoq,Ces1c,0.6875,0.875
Adipoq,Sbsn,0.75,0.875
Adipoq,Lbp,0.6875,0.875
Adipoq,Man2b1,0.8125,0.875
Adipoq,Pgam1,0.875,0.9375
Adipoq,Plxdc2,0.75,0.875
Adipoq,Ctss,0.75,0.8125
Adipoq,Psmb2,0.875,0.9375
Adipoq,Kng1,0.875,1.0
Adipoq,Lrrn4,0.8125,0.875
Adipoq,Pon3,0.875,0.875
Adipoq,Itgb2,0.8125,0.9375
Adipoq,Nrp1,0.75,0.9375
Adipoq,Vtn,0.8125,0.875
Adipoq,Cd5l,0.75,0.875
Adipoq,Apoc2,0.875,1.0
Adipoq,Ctsz,0.8125,0.875
Adipoq,Heg1,0.75,0.9375
Adipoq,Apod,0.75,0.875
Adipoq,Actb,0.875,0.9375
Adipoq,Pi16,0.8125,1.0
Adipoq,Hamp,0.8125,0.9375
Adipoq,Psma2,0.75,0.875
Adipoq,Ighg1,0.8125,0.875
Adipoq,Psmb9,0.875,0.9375
Adipoq,Angptl3,0.75,0.875
Adipoq,Hspa5,0.75,0.8125
Adipoq,Mbl1,0.875,0.9375
Adipoq,Met,0.9375,1.0
Adipoq,Serping1,0.8125,0.875
Adipoq,Ctbs,0.75,0.875
Adipoq,Serpinf1,0.875,0.875
Adipoq,Gnptg,0.75,0.875
Adipoq,Pon1,0.875,1.0
Adipoq,Hba,0.8125,0.9375
Adipoq,Icoslg,0.8125,0.875
Adipoq,Hgfac,0.75,0.875
Adipoq,Pla2g7,0.8125,0.9375
Adipoq,Mup20,0.8125,0.875
Adipoq,Olfm1,0.8125,0.875
Adipoq,Psmb4,0.875,0.9375
Adipoq,Ganab,0.875,0.9375
Adipoq,Igfals,0.75,0.875
Adipoq,Serpina1d,0.9375,0.9375
