Gene 1,Gene 2,cv,train
Stxbp3,Samm50,0.9375,0.9375
Stxbp3,Cand1,0.875,1.0
Stxbp3,Coq6,0.9375,0.9375
Stxbp3,Mlf1,0.875,0.9375
Stxbp3,Fgb,0.875,1.0
Stxbp3,Atpaf1,0.8125,0.9375
Stxbp3,Hbb-b1,0.8125,1.0
Stxbp3,Igfbp7,0.9375,0.9375
Stxbp3,Sgca,0.9375,0.9375
Stxbp3,Csnk2b,0.8125,0.9375
Stxbp3,U2af2,0.75,0.9375
Stxbp3,Clpp,0.875,0.9375
Stxbp3,Lonp1,0.875,0.9375
Stxbp3,Hspb8,0.9375,0.9375
Stxbp3,Acad10,0.9375,0.9375
Stxbp3,Bckdhb,0.875,0.9375
Stxbp3,Acadvl,0.875,1.0
Stxbp3,Otub1,0.9375,1.0
Stxbp3,Ppil1,0.8125,0.9375
Stxbp3,Pdp1,0.9375,0.9375
Stxbp3,Cbr1,0.9375,0.9375
Stxbp3,Lgals3,0.8125,1.0
Stxbp3,Mylk2,0.9375,1.0
Stxbp3,Mrps22,0.8125,0.875
Stxbp3,Polr2a,0.875,0.9375
Stxbp3,Hsph1,0.9375,0.9375
Stxbp3,Ciapin1,0.9375,1.0
Stxbp3,Atp5f1c,0.875,1.0
Stxbp3,Ptges2,0.9375,0.9375
Stxbp3,Acadl,1.0,1.0
Stxbp3,Dhdh,0.9375,1.0
Stxbp3,Isoc2a,0.875,1.0
Stxbp3,Elavl1,0.9375,1.0
Stxbp3,Dync1h1,0.8125,0.9375
Stxbp3,Zc3h18,0.875,0.9375
Stxbp3,Cpt2,0.9375,0.9375
Stxbp3,Pcca,1.0,1.0
Stxbp3,Txn2,0.875,1.0
Stxbp3,Sf3a2,0.875,0.9375
Stxbp3,Hgs,0.875,1.0
Stxbp3,Endog,0.875,1.0
Stxbp3,Pelo,0.875,1.0
Stxbp3,Tmem109,0.9375,0.9375
Stxbp3,Pin4,0.875,1.0
Stxbp3,Cryab,1.0,1.0
Stxbp3,Mvp,0.875,1.0
Stxbp3,Oxct1,0.875,0.9375
Stxbp3,Timm44,0.8125,0.9375
Stxbp3,Etfb,0.9375,1.0
Stxbp3,Ehbp1,0.875,0.9375
Stxbp3,Sarnp,0.9375,0.9375
Stxbp3,Vapa,0.9375,0.9375
Stxbp3,Wars1,0.8125,0.9375
Stxbp3,Grpel1,1.0,1.0
Stxbp3,Padi2,0.8125,1.0
Stxbp3,Cav3,0.9375,0.9375
Stxbp3,Rps19,0.9375,1.0
Stxbp3,Manf,1.0,1.0
Stxbp3,Fabp3,0.9375,1.0
Stxbp3,Rps14,0.875,0.9375
Stxbp3,H2az1,0.9375,1.0
Stxbp3,Cox5b,1.0,1.0
Stxbp3,Fdx1,0.9375,1.0
Stxbp3,Myo1c,0.875,1.0
Stxbp3,Ctbp1,0.875,0.9375
Stxbp3,Hba,0.875,1.0
Stxbp3,Idh3g,1.0,1.0
Stxbp3,Napg,0.9375,1.0
Stxbp3,Tmod1,0.875,1.0
Stxbp3,Rps11,0.875,0.9375
Stxbp3,Pnkp,0.875,0.9375
Stxbp3,Lrpprc,0.875,0.9375
Stxbp3,Ipo9,0.875,0.9375
Stxbp3,Rpl15,0.875,1.0
Stxbp3,Ano10,0.875,0.9375
Stxbp3,Ndufv3,0.875,1.0
Stxbp3,Flnc,0.9375,1.0
Stxbp3,Fn3k,0.9375,0.9375
Stxbp3,Dtna,0.875,0.9375
Stxbp3,Echdc3,0.8125,0.9375
Stxbp3,Adss1,0.9375,1.0
Stxbp3,Eci2,0.9375,0.9375
Stxbp3,Gfm2,1.0,1.0
Stxbp3,Sh3bgr,0.9375,0.9375
Stxbp3,Vcan,0.75,0.9375
Stxbp3,Taldo1,0.875,0.9375
Stxbp3,Abce1,0.875,0.9375
Stxbp3,Echs1,1.0,1.0
Stxbp3,Tmod2,0.8125,0.9375
Stxbp3,Crat,0.8125,0.9375
Stxbp3,Wdr26,0.9375,0.9375
Stxbp3,Cox5a,1.0,1.0
Stxbp3,Bhmt,0.9375,0.9375
Stxbp3,Trap1,0.9375,0.9375
Stxbp3,Sucla2,0.875,0.9375
Stxbp3,Smox,0.875,0.9375
Stxbp3,Ranbp3,0.8125,0.9375
Stxbp3,Senp8,0.8125,0.9375
Stxbp3,Pdlim7,0.8125,0.9375
Samm50,Cand1,0.8125,0.9375
Samm50,Coq6,0.875,0.9375
Samm50,Mlf1,0.6875,0.875
Samm50,Fgb,0.9375,1.0
Samm50,Atpaf1,0.8125,0.9375
Samm50,Hbb-b1,0.8125,1.0
Samm50,Igfbp7,0.875,0.875
Samm50,Sgca,0.8125,0.875
Samm50,Csnk2b,0.8125,0.9375
Samm50,U2af2,0.75,0.9375
Samm50,Clpp,0.875,0.9375
Samm50,Lonp1,0.875,0.9375
Samm50,Hspb8,0.8125,0.875
Samm50,Acad10,0.875,0.875
Samm50,Bckdhb,0.75,0.875
Samm50,Acadvl,0.8125,0.875
Samm50,Otub1,0.8125,1.0
Samm50,Ppil1,0.75,0.9375
Samm50,Pdp1,0.8125,0.875
Samm50,Cbr1,0.875,0.9375
Samm50,Lgals3,0.6875,0.875
Samm50,Mylk2,0.9375,1.0
Samm50,Mrps22,0.8125,0.9375
Samm50,Polr2a,0.75,0.9375
Samm50,Hsph1,0.75,0.875
Samm50,Ciapin1,0.875,1.0
Samm50,Atp5f1c,0.75,0.9375
Samm50,Ptges2,0.9375,0.9375
Samm50,Acadl,0.75,0.9375
Samm50,Dhdh,0.9375,1.0
Samm50,Isoc2a,0.8125,0.8125
Samm50,Elavl1,0.9375,1.0
Samm50,Dync1h1,0.8125,0.875
Samm50,Zc3h18,0.875,0.9375
Samm50,Cpt2,0.75,0.8125
Samm50,Pcca,0.875,0.8125
Samm50,Txn2,0.8125,1.0
Samm50,Sf3a2,0.8125,0.9375
Samm50,Hgs,0.8125,0.9375
Samm50,Endog,0.875,1.0
Samm50,Pelo,0.8125,0.9375
Samm50,Tmem109,0.75,0.9375
Samm50,Pin4,0.8125,0.8125
Samm50,Cryab,0.8125,1.0
Samm50,Mvp,0.6875,0.9375
Samm50,Oxct1,0.8125,0.9375
Samm50,Timm44,0.6875,0.875
Samm50,Etfb,0.8125,0.9375
Samm50,Ehbp1,0.8125,0.9375
Samm50,Sarnp,0.875,0.9375
Samm50,Vapa,0.8125,0.9375
Samm50,Wars1,0.75,0.9375
Samm50,Grpel1,0.9375,1.0
Samm50,Padi2,0.6875,0.875
Samm50,Cav3,0.9375,0.9375
Samm50,Rps19,0.8125,0.875
Samm50,Manf,1.0,1.0
Samm50,Fabp3,0.875,1.0
Samm50,Rps14,0.8125,0.8125
Samm50,H2az1,0.9375,1.0
Samm50,Cox5b,0.9375,1.0
Samm50,Fdx1,0.8125,1.0
Samm50,Myo1c,0.9375,1.0
Samm50,Ctbp1,0.8125,0.9375
Samm50,Hba,0.875,1.0
Samm50,Idh3g,0.9375,1.0
Samm50,Napg,0.875,0.9375
Samm50,Tmod1,0.9375,0.9375
Samm50,Rps11,0.75,0.875
Samm50,Pnkp,0.75,0.875
Samm50,Lrpprc,0.875,0.875
Samm50,Ipo9,0.8125,0.9375
Samm50,Rpl15,0.75,0.875
Samm50,Ano10,0.75,0.875
Samm50,Ndufv3,0.75,0.9375
Samm50,Flnc,0.9375,1.0
Samm50,Fn3k,0.75,0.9375
Samm50,Dtna,0.8125,1.0
Samm50,Echdc3,0.8125,1.0
Samm50,Adss1,0.9375,1.0
Samm50,Eci2,0.875,0.875
Samm50,Gfm2,0.75,0.875
Samm50,Sh3bgr,0.8125,0.9375
Samm50,Vcan,0.8125,0.9375
Samm50,Taldo1,0.8125,0.9375
Samm50,Abce1,0.6875,0.9375
Samm50,Echs1,0.8125,0.9375
Samm50,Tmod2,0.8125,0.9375
Samm50,Crat,0.8125,0.875
Samm50,Wdr26,0.8125,0.9375
Samm50,Cox5a,0.8125,1.0
Samm50,Bhmt,0.75,0.875
Samm50,Trap1,0.875,0.9375
Samm50,Sucla2,0.9375,0.9375
Samm50,Smox,0.8125,0.875
Samm50,Ranbp3,0.8125,0.9375
