Gene 1,Gene 2,cv,train
Strip2,Large1,0.9333333333333333,1.0
Strip2,Epop,1.0,1.0
Strip2,5830444B04Rik,0.8666666666666666,0.9375
Strip2,Inha,0.8666666666666666,1.0
Strip2,Hspa4l,0.9333333333333332,1.0
Strip2,Mcph1,0.8833333333333332,0.9375
Strip2,Lefty1,0.8666666666666666,1.0
Strip2,Gm27023,0.7999999999999999,0.875
Strip2,Aqp1,0.8666666666666666,1.0
Strip2,Pex3,0.9333333333333332,0.9375
Strip2,Ddx20,0.8666666666666666,1.0
Strip2,Pheta1,0.9333333333333332,1.0
Strip2,Aldoa-ps4,0.9333333333333332,1.0
Strip2,Zdhhc8,0.9333333333333332,0.9375
Strip2,Rb1cc1,0.9333333333333333,1.0
Strip2,Rnf126,0.9333333333333332,1.0
Strip2,Ubl7,0.8666666666666666,1.0
Strip2,Zfp619,0.7333333333333333,0.875
Strip2,Mt1,0.7999999999999999,0.9375
Strip2,Ednrb,0.9333333333333332,1.0
Strip2,Gm10297,0.7999999999999999,0.875
Strip2,Nsa2-ps1,0.7999999999999999,0.875
Strip2,Dedd,0.8333333333333333,0.9375
Strip2,Zc3hav1,0.7999999999999999,1.0
Strip2,Togaram1,0.9333333333333332,0.9375
Strip2,Ugp2,0.8666666666666666,1.0
Strip2,Rnf157,0.7666666666666666,0.9375
Strip2,Pcdhb17,0.8166666666666667,1.0
Strip2,Tecr,0.8833333333333332,0.9375
Strip2,Dclk2,0.7999999999999999,0.875
Strip2,Tiam1,0.7666666666666666,0.9375
Strip2,Clstn3,0.7999999999999999,0.9375
Strip2,Fbxl8,0.8666666666666666,0.9375
Strip2,B3gnt8,0.8666666666666668,0.9375
Strip2,St8sia6,0.8666666666666666,0.9375
Strip2,Dmxl2,1.0,1.0
Strip2,Ubald1,0.8666666666666666,0.9375
Strip2,Ebf3,0.7666666666666666,0.875
Strip2,Slc2a3,1.0,1.0
Strip2,Cav2,0.7999999999999999,0.9375
