Gene 1,Gene 2,cv,train
Itgam,Flt4,0.6875,0.875
Itgam,Hrg,0.875,0.9375
Itgam,Cd248,0.875,0.875
Itgam,A2m,0.875,0.875
Itgam,Serpina1a,0.75,1.0
Itgam,Cpn2,0.8125,0.9375
Itgam,Ggh,0.8125,0.875
Itgam,F9,0.8125,0.9375
Itgam,Plxdc2,0.8125,0.875
Itgam,Taldo1,0.6875,0.875
Itgam,Kng1,0.8125,0.8125
Itgam,Ext2,0.75,0.875
Itgam,Eef2,0.8125,0.875
Itgam,Cst3,0.8125,0.875
Itgam,Lpl,0.8125,0.875
Itgam,Ngp,0.8125,1.0
Itgam,Fga,0.75,0.875
Itgam,C9,0.8125,0.9375
Itgam,Igfbp3,0.8125,0.875
Itgam,Afm,0.75,0.875
Itgam,Apcs,0.875,0.9375
Itgam,Itih2,0.8125,0.9375
Itgam,Dkk3,0.8125,0.875
Itgam,Serpina3n,0.9375,0.9375
Itgam,Psmb10,0.75,0.875
Itgam,F2,0.75,0.875
Itgam,Selenop,0.875,0.9375
Itgam,Msn,0.6875,0.875
Itgam,Ctsz,0.75,0.9375
Itgam,Apoc2,0.9375,1.0
Itgam,Vcl,0.75,0.875
Itgam,Fgb,0.75,0.875
Itgam,Serping1,0.75,0.875
Itgam,Amy2,0.75,0.875
Itgam,Apoc4,0.9375,1.0
Itgam,Fgg,0.75,0.9375
Itgam,Col11a2,0.875,0.875
Itgam,Serpina6,0.9375,0.9375
Itgam,Igf1,0.875,0.875
Itgam,Clu,0.8125,0.9375
Itgam,Pi16,0.75,0.875
Itgam,Tuba1b,0.875,0.875
Itgam,Serpina10,0.8125,0.9375
Itgam,Lamp2,0.75,0.875
Itgam,Antxr2,0.875,0.9375
Itgam,Pigr,0.9375,0.9375
Itgam,Hamp,0.75,0.875
Itgam,Lrp1,0.8125,0.875
Itgam,Ptprm,0.875,0.875
Itgam,Egfr,0.8125,0.9375
Itgam,Ptgds,0.75,0.875
Itgam,Ca2,0.75,0.875
Itgam,Psma7,0.8125,0.875
Itgam,Fbln1,0.8125,0.875
Itgam,Lap3,0.8125,0.9375
Itgam,Spink1,0.875,0.875
Itgam,Tmsb4x,0.875,0.9375
Itgam,Tagln2,0.875,0.875
Itgam,Dpep2,0.875,0.875
Itgam,Btd,0.875,0.875
Itgam,Cela2a,0.75,0.875
Itgam,Cycs,0.75,0.875
Itgam,Hpx,0.8125,0.875
Itgam,Fbln5,0.8125,0.9375
Itgam,Me1,0.75,0.9375
Itgam,Cela1,0.875,0.875
Itgam,Pgd,0.8125,0.9375
Itgam,Minpp1,0.8125,0.875
Itgam,Serpinf2,1.0,1.0
Itgam,Tfrc,0.8125,0.875
Itgam,Pnp,0.6875,0.875
Itgam,F12,0.875,0.875
Itgam,Ighg1,0.75,0.875
Itgam,Tubb4b,0.8125,0.875
Itgam,Sell,0.875,0.9375
Itgam,Masp1,0.75,0.875
Itgam,Hyou1,0.75,0.875
Itgam,Man2b1,0.75,0.875
Itgam,Amy1,0.9375,0.9375
Itgam,Gpx1,0.6875,0.875
Itgam,Umod,0.8125,0.875
Itgam,Apod,0.8125,0.875
Itgam,Serpina1b,0.75,0.875
Itgam,F13a1,1.0,1.0
Itgam,Ptprg,0.875,0.875
Itgam,Ighv3-6,0.625,0.875
Itgam,Cd93,0.75,0.875
Itgam,Cdh13,0.75,0.875
Itgam,Cfb,0.875,0.9375
Itgam,Manba,1.0,1.0
Itgam,Arpc3,0.6875,0.875
Itgam,Sod3,0.875,1.0
Itgam,Ca3,0.75,0.875
Itgam,Ces2e,0.9375,0.9375
Itgam,Ywhaz,0.75,0.875
Itgam,Apof,0.75,0.875
Itgam,P4hb,0.8125,1.0
Itgam,Tkt,0.8125,0.875
Itgam,Ghr,0.875,0.875
Flt4,Hrg,0.875,0.9375
Flt4,Cd248,0.6875,0.8125
Flt4,A2m,0.875,0.9375
Flt4,Serpina1a,0.75,0.875
Flt4,Cpn2,0.9375,0.9375
Flt4,Ggh,0.5625,0.8125
Flt4,F9,0.875,1.0
Flt4,Plxdc2,0.625,0.625
Flt4,Taldo1,0.6875,0.875
Flt4,Kng1,0.8125,0.875
Flt4,Ext2,0.875,0.9375
Flt4,Eef2,0.625,0.75
Flt4,Cst3,0.875,0.9375
Flt4,Lpl,0.6875,0.75
Flt4,Ngp,0.8125,0.875
Flt4,Fga,0.875,0.875
Flt4,C9,0.8125,0.875
Flt4,Igfbp3,0.5,0.8125
Flt4,Afm,0.5625,0.875
Flt4,Apcs,0.6875,0.9375
Flt4,Itih2,0.5625,0.6875
Flt4,Dkk3,0.9375,0.9375
Flt4,Serpina3n,0.875,0.9375
Flt4,Psmb10,0.625,0.875
Flt4,F2,0.6875,0.8125
Flt4,Selenop,0.8125,0.875
Flt4,Msn,0.5625,0.6875
Flt4,Ctsz,0.6875,0.875
Flt4,Apoc2,0.625,0.8125
Flt4,Vcl,0.5,0.75
Flt4,Fgb,0.9375,0.9375
Flt4,Serping1,0.625,0.875
Flt4,Amy2,0.5625,0.6875
Flt4,Apoc4,0.8125,0.8125
Flt4,Fgg,0.875,0.9375
Flt4,Col11a2,0.5625,0.75
Flt4,Serpina6,0.8125,0.875
Flt4,Igf1,0.625,0.875
Flt4,Clu,0.5,0.8125
Flt4,Pi16,0.75,0.8125
Flt4,Tuba1b,0.625,0.625
Flt4,Serpina10,0.8125,0.875
Flt4,Lamp2,0.75,0.75
Flt4,Antxr2,0.5625,0.6875
Flt4,Pigr,0.75,0.875
Flt4,Hamp,0.6875,0.625
Flt4,Lrp1,0.5,0.625
Flt4,Ptprm,0.6875,0.75
Flt4,Egfr,0.75,0.875
Flt4,Ptgds,0.5,0.5625
Flt4,Ca2,0.5,0.5625
Flt4,Psma7,0.5,0.625
Flt4,Fbln1,0.8125,0.875
Flt4,Lap3,0.5625,0.6875
Flt4,Spink1,0.5625,0.75
Flt4,Tmsb4x,0.6875,0.75
Flt4,Tagln2,0.6875,0.625
Flt4,Dpep2,0.5625,0.8125
Flt4,Btd,0.5625,0.75
Flt4,Cela2a,0.5,0.625
Flt4,Cycs,0.625,0.625
Flt4,Hpx,0.625,0.75
Flt4,Fbln5,0.75,0.75
Flt4,Me1,0.625,0.6875
Flt4,Cela1,0.5625,0.5625
Flt4,Pgd,0.5625,0.75
Flt4,Minpp1,0.5,0.5625
Flt4,Serpinf2,0.75,0.875
Flt4,Tfrc,0.5,0.5625
Flt4,Pnp,0.625,0.5625
Flt4,F12,0.75,0.8125
Flt4,Ighg1,0.8125,0.875
Flt4,Tubb4b,0.6875,0.625
Flt4,Sell,0.6875,0.6875
Flt4,Masp1,0.75,0.8125
Flt4,Hyou1,0.875,0.9375
Flt4,Man2b1,0.5625,0.6875
Flt4,Amy1,0.8125,1.0
Flt4,Gpx1,0.5625,0.6875
Flt4,Umod,0.5625,0.75
Flt4,Apod,0.9375,0.9375
Flt4,Serpina1b,0.875,1.0
Flt4,F13a1,0.75,0.8125
Flt4,Ptprg,0.5,0.5625
Flt4,Ighv3-6,0.875,0.875
Flt4,Cd93,0.625,0.75
Flt4,Cdh13,0.5625,0.625
Flt4,Cfb,0.625,0.6875
Flt4,Manba,0.8125,0.875
Flt4,Arpc3,0.625,0.75
Flt4,Sod3,0.5,0.75
Flt4,Ca3,0.75,0.875
Flt4,Ces2e,0.5625,0.625
Flt4,Ywhaz,0.625,0.5625
Flt4,Apof,0.5625,0.625
Flt4,P4hb,0.625,0.75
Flt4,Tkt,0.625,0.5625
Flt4,Ghr,0.625,0.8125
Hrg,Cd248,0.8125,0.9375
Hrg,A2m,0.9375,0.9375
Hrg,Serpina1a,0.8125,0.875
Hrg,Cpn2,0.875,0.9375
Hrg,Ggh,0.8125,0.9375
Hrg,F9,0.8125,0.9375
Hrg,Plxdc2,0.9375,0.9375
Hrg,Taldo1,0.8125,0.9375
Hrg,Kng1,0.8125,0.9375
Hrg,Ext2,0.8125,0.9375
Hrg,Eef2,0.8125,0.9375
Hrg,Cst3,0.875,0.9375
Hrg,Lpl,0.875,0.9375
Hrg,Ngp,0.875,1.0
Hrg,Fga,0.875,0.9375
Hrg,C9,0.8125,0.875
Hrg,Igfbp3,0.8125,0.9375
Hrg,Afm,0.8125,0.9375
Hrg,Apcs,0.8125,0.9375
Hrg,Itih2,0.9375,1.0
Hrg,Dkk3,0.9375,0.9375
Hrg,Serpina3n,0.9375,1.0
Hrg,Psmb10,0.8125,0.9375
Hrg,F2,0.8125,0.9375
Hrg,Selenop,0.8125,0.9375
Hrg,Msn,0.8125,0.9375
Hrg,Ctsz,0.875,1.0
Hrg,Apoc2,0.8125,0.9375
Hrg,Vcl,0.875,0.9375
Hrg,Fgb,0.8125,0.9375
Hrg,Serping1,0.875,0.875
Hrg,Amy2,0.875,0.9375
Hrg,Apoc4,0.9375,1.0
Hrg,Fgg,0.875,0.9375
Hrg,Col11a2,0.8125,0.875
Hrg,Serpina6,1.0,1.0
Hrg,Igf1,0.875,0.875
Hrg,Clu,0.75,0.9375
Hrg,Pi16,0.875,0.9375
Hrg,Tuba1b,0.875,0.9375
Hrg,Serpina10,0.8125,0.9375
Hrg,Lamp2,0.8125,0.9375
Hrg,Antxr2,0.8125,1.0
Hrg,Pigr,0.8125,1.0
Hrg,Hamp,0.9375,1.0
Hrg,Lrp1,0.875,0.9375
Hrg,Ptprm,0.875,0.9375
Hrg,Egfr,0.75,0.9375
Hrg,Ptgds,0.8125,0.9375
Hrg,Ca2,0.8125,0.9375
Hrg,Psma7,0.8125,0.9375
Hrg,Fbln1,0.8125,0.9375
Hrg,Lap3,0.8125,0.875
Hrg,Spink1,0.8125,0.9375
Hrg,Tmsb4x,0.9375,0.9375
Hrg,Tagln2,0.875,0.9375
Hrg,Dpep2,0.9375,0.9375
Hrg,Btd,0.8125,0.875
Hrg,Cela2a,0.875,0.875
Hrg,Cycs,0.875,0.9375
Hrg,Hpx,0.8125,0.9375
Hrg,Fbln5,0.9375,0.9375
Hrg,Me1,0.8125,1.0
Hrg,Cela1,0.875,0.875
Hrg,Pgd,0.9375,1.0
Hrg,Minpp1,0.875,0.9375
Hrg,Serpinf2,0.875,1.0
Hrg,Tfrc,0.875,0.9375
Hrg,Pnp,0.75,0.9375
Hrg,F12,0.8125,0.9375
Hrg,Ighg1,0.875,0.9375
Hrg,Tubb4b,0.9375,0.9375
Hrg,Sell,0.9375,0.9375
Hrg,Masp1,0.9375,0.9375
Hrg,Hyou1,0.8125,0.875
Hrg,Man2b1,0.8125,0.9375
Hrg,Amy1,0.9375,1.0
Hrg,Gpx1,0.875,0.9375
Hrg,Umod,0.8125,0.9375
Hrg,Apod,0.8125,0.9375
Hrg,Serpina1b,0.75,0.9375
Hrg,F13a1,0.875,1.0
Hrg,Ptprg,0.875,0.9375
Hrg,Ighv3-6,0.75,0.9375
Hrg,Cd93,0.9375,0.9375
Hrg,Cdh13,0.875,0.875
Hrg,Cfb,0.8125,0.9375
Hrg,Manba,0.875,0.9375
Hrg,Arpc3,0.875,0.9375
Hrg,Sod3,0.8125,0.9375
Hrg,Ca3,0.9375,0.9375
Hrg,Ces2e,0.875,0.9375
Hrg,Ywhaz,0.8125,0.9375
Hrg,Apof,0.75,0.9375
Hrg,P4hb,1.0,1.0
Hrg,Tkt,0.8125,0.9375
Hrg,Ghr,0.875,0.9375
Cd248,A2m,0.5,0.75
Cd248,Serpina1a,0.8125,0.8125
Cd248,Cpn2,0.75,0.75
Cd248,Ggh,0.5625,0.75
Cd248,F9,0.875,0.875
Cd248,Plxdc2,0.625,0.75
Cd248,Taldo1,0.75,0.8125
Cd248,Kng1,0.6875,0.8125
Cd248,Ext2,0.5625,0.8125
Cd248,Eef2,0.625,0.6875
Cd248,Cst3,0.6875,0.875
Cd248,Lpl,0.5625,0.8125
Cd248,Ngp,0.75,0.8125
Cd248,Fga,0.6875,0.8125
Cd248,C9,0.625,0.8125
Cd248,Igfbp3,0.625,0.9375
Cd248,Afm,0.75,0.75
Cd248,Apcs,0.75,0.8125
Cd248,Itih2,0.6875,0.9375
Cd248,Dkk3,0.8125,0.8125
Cd248,Serpina3n,0.625,0.8125
Cd248,Psmb10,0.5625,0.6875
Cd248,F2,0.375,0.6875
Cd248,Selenop,0.75,0.8125
Cd248,Msn,0.8125,0.8125
Cd248,Ctsz,0.5625,0.8125
Cd248,Apoc2,0.6875,0.8125
Cd248,Vcl,0.4375,0.6875
Cd248,Fgb,0.6875,0.8125
Cd248,Serping1,0.6875,0.8125
Cd248,Amy2,0.625,0.6875
Cd248,Apoc4,0.8125,0.8125
