Gene 1,Gene 2,cv,train
Sptb,Lmnb1,0.9375,1.0
Sptb,Lrpprc,0.75,0.875
Sptb,Ilf2,0.9375,0.9375
Sptb,Smyd2,0.9375,1.0
Sptb,Cox5b,0.75,0.9375
Sptb,Sephs1,0.9375,1.0
Sptb,Zc3h15,0.75,0.9375
Sptb,Flnc,0.8125,1.0
Sptb,Obscn,1.0,1.0
Sptb,Hgs,0.8125,0.9375
Sptb,Ttn,0.875,0.9375
Sptb,Wdr26,0.8125,0.9375
Sptb,Ncbp1,0.8125,1.0
Sptb,U2af1,0.8125,0.9375
Sptb,Bub3,0.875,0.9375
Sptb,Sod2,0.875,0.9375
Sptb,Numa1,0.875,0.9375
Sptb,Kctd9,0.8125,0.875
Sptb,Ubxn6,0.875,0.9375
Sptb,Cpped1,0.8125,0.9375
Sptb,Tmed2,0.8125,0.875
Sptb,Ugp2,0.875,0.9375
Sptb,Txnl1,0.8125,1.0
Sptb,Pef1,1.0,1.0
Sptb,Btf3l4,0.75,0.9375
Sptb,Emc2,0.875,0.9375
Sptb,Hsp90ab1,0.9375,0.9375
Sptb,Ogdh,0.8125,0.875
Sptb,Pebp1,0.8125,0.875
Sptb,Tmem43,0.875,1.0
Sptb,Arl6ip5,0.75,0.8125
Sptb,Prkaca,0.8125,0.8125
Sptb,Cndp2,0.75,0.875
Sptb,Cbx3,1.0,1.0
Sptb,Dld,0.8125,0.875
Sptb,Ptrh2,0.8125,0.875
Sptb,Mtx2,0.875,1.0
Sptb,Tbc1d1,0.75,0.9375
Sptb,Hnrnpl,0.8125,0.9375
Sptb,Nme2,0.8125,0.875
Sptb,Dffa,0.75,0.875
Sptb,Ndufb5,0.8125,0.875
Sptb,Hsd17b4,0.8125,0.875
Sptb,Tnc,0.9375,0.9375
Sptb,Asrgl1,0.8125,0.8125
Sptb,Spryd4,0.8125,0.9375
Sptb,Nol3,0.8125,1.0
Sptb,Aga,0.8125,0.9375
Sptb,Srsf7,0.8125,0.875
Sptb,H2ac21,0.8125,0.9375
Sptb,Otud4,0.875,1.0
Sptb,Clic5,0.875,1.0
