Gene 1,Gene 2,cv,train
Hoxc5,Vkorc1,0.9333333333333333,1.0
Hoxc5,Pla1a,0.9333333333333333,1.0
Hoxc5,Ankrd49,0.9333333333333332,1.0
Hoxc5,Mtbp,1.0,1.0
Hoxc5,Shox2,0.7999999999999999,1.0
Hoxc5,Gtf2h3,0.7999999999999999,1.0
Hoxc5,Slc6a2,1.0,1.0
Hoxc5,Naaa,0.9333333333333333,1.0
Hoxc5,Megf6,1.0,1.0
Hoxc5,Marcksl1,0.8666666666666666,1.0
Hoxc5,Col13a1,0.9333333333333333,1.0
Hoxc5,Hcls1,0.8666666666666666,1.0
Hoxc5,Ier2,0.7999999999999999,1.0
Hoxc5,Atp6v1g2,0.9333333333333332,1.0
Hoxc5,Sgip1,1.0,1.0
Hoxc5,Apln,1.0,1.0
Hoxc5,Bbs10,0.9333333333333332,1.0
Hoxc5,Il1rl1,1.0,1.0
Hoxc5,Trim34a,0.8,1.0
Hoxc5,Exd1,0.8666666666666666,1.0
Hoxc5,Gm48088,1.0,1.0
Hoxc5,Aldh1a2,1.0,1.0
Hoxc5,Cd209a,1.0,1.0
Hoxc5,Gadd45gip1,0.9333333333333332,1.0
Hoxc5,Mta2,1.0,1.0
Hoxc5,1110065P20Rik,0.8666666666666666,1.0
Hoxc5,Akap8,0.9333333333333332,1.0
Hoxc5,Fam174b,0.8666666666666666,1.0
Hoxc5,Tmem158,0.8666666666666666,1.0
Hoxc5,Mrps34,0.8666666666666666,1.0
Hoxc5,Igfbp7,0.8666666666666666,1.0
Hoxc5,Coro1a,0.9333333333333333,1.0
Hoxc5,Slc18b1,0.9333333333333333,1.0
Hoxc5,Ptgs1,1.0,1.0
Hoxc5,Zyx,1.0,1.0
Hoxc5,B4galt1,1.0,1.0
Hoxc5,Pgap6,1.0,1.0
Hoxc5,Ostf1,0.7999999999999999,1.0
Hoxc5,Layn,0.7999999999999999,1.0
Hoxc5,Rab8b,1.0,1.0
Hoxc5,Cpq,0.9333333333333333,1.0
Hoxc5,Dock10,0.9333333333333332,1.0
Hoxc5,C5ar1,0.8666666666666666,1.0
Hoxc5,Tmem181b-ps,0.7999999999999999,1.0
Hoxc5,Rtl8c,0.9333333333333332,1.0
Hoxc5,Rab29,0.8666666666666666,1.0
Hoxc5,Kcnab2,0.9333333333333333,1.0
Hoxc5,Ppp2r3a,0.8666666666666666,1.0
Hoxc5,Ccdc62,0.8666666666666666,1.0
Hoxc5,Crlf2,0.9333333333333332,1.0
Hoxc5,Lrrc41,0.9333333333333332,1.0
Hoxc5,Ung,1.0,1.0
Hoxc5,Cyba,0.8666666666666666,1.0
Hoxc5,Cd37,1.0,1.0
Hoxc5,Prg4,0.8666666666666666,1.0
Hoxc5,Plekho2,0.9333333333333333,1.0
Hoxc5,Ppp1r9b,0.7999999999999999,1.0
Hoxc5,Gm26910,0.6666666666666666,1.0
Hoxc5,Fermt3,0.8666666666666666,1.0
Hoxc5,Zfp946,0.9333333333333333,1.0
Hoxc5,Mad2l1,0.8666666666666666,1.0
Hoxc5,Cox5a,1.0,1.0
Hoxc5,Kcnk6,0.9333333333333333,1.0
Hoxc5,Ccdc85b,0.7999999999999999,1.0
Hoxc5,Zfp992,0.8666666666666666,1.0
Hoxc5,Prkdc,1.0,1.0
Hoxc5,Pigx,0.8666666666666666,1.0
Hoxc5,Pcsk6,0.9333333333333333,1.0
Hoxc5,Gmfg,0.9333333333333333,1.0
Hoxc5,Gm2a,0.9333333333333332,1.0
Hoxc5,Sec16b,1.0,1.0
Hoxc5,Nelfa,0.8666666666666666,1.0
Hoxc5,Sel1l3,0.7333333333333333,1.0
Hoxc5,Hnrnpa0,1.0,1.0
Hoxc5,Ttn,0.8666666666666666,1.0
Hoxc5,Oasl2,0.9333333333333333,1.0
Hoxc5,Irak2,1.0,1.0
Hoxc5,Gm13991,0.9333333333333332,1.0
Hoxc5,Sp100,1.0,1.0
Hoxc5,Slc16a12,0.8666666666666666,1.0
Hoxc5,Msx1,1.0,1.0
Hoxc5,Mill2,0.8666666666666666,1.0
Hoxc5,1700123M08Rik,0.8666666666666666,1.0
Hoxc5,Ccl9,1.0,1.0
Hoxc5,Srd5a3,0.8666666666666666,1.0
Hoxc5,B3glct,0.9333333333333333,1.0
Hoxc5,Oxld1,1.0,1.0
Hoxc5,Fcrls,0.8666666666666666,1.0
Hoxc5,Pgghg,0.7999999999999999,1.0
Hoxc5,Faap20,0.8666666666666666,1.0
Hoxc5,Tbl2,0.8666666666666666,1.0
Hoxc5,Spi1,0.9333333333333333,1.0
Hoxc5,Casp8,0.9333333333333333,1.0
Hoxc5,9030407P20Rik,0.8,1.0
Hoxc5,Ccl24,1.0,1.0
Hoxc5,Plac9,1.0,1.0
