Gene 1,Gene 2,cv,train
Aldoa,Ggh,0.6875,0.9375
Aldoa,Blmh,0.75,0.875
Aldoa,Fuca1,0.875,0.875
Aldoa,Spp1,0.875,0.9375
Aldoa,Adipoq,0.75,0.875
Aldoa,Serpina3c,0.875,0.875
Aldoa,Plxdc2,0.8125,0.8125
Aldoa,Actr3,0.875,0.875
Aldoa,Amy1,0.875,1.0
Aldoa,Antxr2,0.875,0.875
Aldoa,Tmsb4x,0.8125,0.875
Aldoa,Ces1c,0.6875,0.875
Aldoa,Ctsz,0.75,0.75
Aldoa,Dnpep,0.875,0.875
Aldoa,Amy2,0.8125,0.875
Aldoa,Ambp,0.9375,1.0
Aldoa,Lbp,0.8125,0.9375
Aldoa,Actb,0.8125,0.875
Aldoa,Hspa5,0.75,0.875
Aldoa,Chga,0.875,0.875
Aldoa,Dspp,0.75,0.875
Aldoa,Tagln2,0.875,0.9375
Aldoa,Cfb,0.875,0.9375
Aldoa,Ca2,0.875,0.875
Aldoa,Hrg,0.9375,0.9375
Aldoa,Psmb5,0.75,0.8125
Aldoa,Nrp1,0.8125,0.875
Aldoa,Heg1,0.875,0.875
Aldoa,Cdh13,0.8125,0.9375
Aldoa,B2m,0.8125,0.9375
Aldoa,Cfd,0.875,0.875
Aldoa,Ica,0.8125,0.875
Aldoa,Cd248,0.75,0.9375
Aldoa,Selenop,0.875,0.9375
Aldoa,Hamp,0.875,0.9375
Aldoa,Igfbp6,0.875,0.875
Aldoa,Ganab,0.8125,0.9375
Aldoa,Itgb2,0.875,0.875
Aldoa,Ext2,0.875,0.875
Aldoa,Serpind1,0.875,0.875
Aldoa,Ces3a,0.6875,0.875
Aldoa,Igkv9-120,0.8125,0.8125
Aldoa,Nid1,0.75,0.9375
Aldoa,Pla2g7,0.875,0.9375
Aldoa,Tln1,0.8125,0.875
Aldoa,Adgre5,0.75,0.9375
Aldoa,Man2b2,0.9375,0.9375
Aldoa,Pnliprp1,0.875,0.9375
Aldoa,Ces2c,0.8125,0.9375
Aldoa,Ighg1,0.75,0.9375
Aldoa,Mbl2,0.875,0.875
Aldoa,Flt4,0.75,0.9375
Aldoa,Col11a2,0.8125,0.875
Aldoa,Olfm1,0.8125,0.875
Aldoa,Itih4,0.875,0.9375
Aldoa,Ces2e,0.9375,0.9375
Aldoa,Pdia3,0.6875,0.9375
Aldoa,Psma1,0.75,0.875
Aldoa,Hba,0.8125,0.875
Aldoa,Pgd,0.8125,0.875
Aldoa,Antxr1,0.8125,0.875
Aldoa,Fetub,0.875,0.9375
Aldoa,Man2a2,0.8125,0.875
Aldoa,Comp,0.8125,0.9375
Aldoa,Itga2b,0.9375,0.9375
Aldoa,Ncam1,0.75,0.875
Aldoa,Prdx2,0.8125,0.875
Aldoa,Fn1,0.6875,0.9375
Aldoa,Igfbp4,0.875,0.9375
Aldoa,Itgb1,0.9375,0.9375
Aldoa,Tuba1b,0.875,0.9375
Aldoa,Hbb-b1,0.8125,0.875
Aldoa,Itga2,0.75,0.9375
Aldoa,Me1,0.8125,0.875
Aldoa,Hgfac,0.875,0.9375
Aldoa,Itih2,0.8125,0.875
Aldoa,Neo1,0.8125,0.9375
Aldoa,A2m,0.8125,0.9375
Aldoa,Pgam1,0.875,0.9375
Aldoa,P4hb,0.75,0.9375
Aldoa,Cd44,0.875,0.875
Aldoa,Psmb3,0.8125,0.9375
Aldoa,Arhgdia,0.75,0.875
Aldoa,Apob,0.8125,0.9375
Aldoa,Lrrn4,0.8125,0.875
Aldoa,Ces2a,0.75,0.875
Aldoa,Hp,0.8125,0.9375
Aldoa,Tfpi,0.875,0.9375
Aldoa,Cela2a,0.8125,0.9375
Aldoa,Asl,0.875,0.8125
Aldoa,Apof,0.75,0.9375
Aldoa,Bpgm,0.875,0.875
Aldoa,Dpp4,0.875,0.875
Aldoa,Gpx1,0.875,0.9375
Aldoa,Cdh17,0.75,0.8125
Aldoa,F2,0.8125,0.9375
Aldoa,Efemp2,0.625,0.875
Aldoa,Erap1,0.8125,0.9375
Aldoa,Apoh,0.8125,0.875
Ggh,Blmh,0.6875,0.9375
Ggh,Fuca1,0.625,0.875
Ggh,Spp1,0.875,1.0
Ggh,Adipoq,0.9375,1.0
Ggh,Serpina3c,0.6875,0.875
Ggh,Plxdc2,0.75,0.875
Ggh,Actr3,0.75,0.875
Ggh,Amy1,0.75,0.9375
Ggh,Antxr2,0.9375,1.0
Ggh,Tmsb4x,0.6875,0.875
Ggh,Ces1c,0.6875,0.875
Ggh,Ctsz,0.75,0.8125
Ggh,Dnpep,0.6875,0.875
Ggh,Amy2,0.6875,0.8125
Ggh,Ambp,1.0,1.0
Ggh,Lbp,0.6875,0.8125
Ggh,Actb,0.625,0.875
Ggh,Hspa5,0.75,0.875
Ggh,Chga,0.75,0.875
Ggh,Dspp,0.875,0.9375
Ggh,Tagln2,0.8125,0.9375
Ggh,Cfb,0.6875,0.9375
Ggh,Ca2,0.8125,0.9375
Ggh,Hrg,0.8125,0.9375
Ggh,Psmb5,0.6875,0.9375
Ggh,Nrp1,0.6875,0.9375
Ggh,Heg1,0.8125,0.9375
Ggh,Cdh13,0.8125,0.9375
Ggh,B2m,0.875,1.0
Ggh,Cfd,0.6875,0.8125
Ggh,Ica,0.75,0.9375
Ggh,Cd248,0.625,0.875
Ggh,Selenop,0.8125,0.9375
Ggh,Hamp,0.6875,0.8125
Ggh,Igfbp6,0.6875,0.875
Ggh,Ganab,0.875,1.0
Ggh,Itgb2,0.6875,0.875
Ggh,Ext2,0.75,0.8125
Ggh,Serpind1,0.6875,0.9375
Ggh,Ces3a,0.75,0.875
Ggh,Igkv9-120,0.8125,0.875
Ggh,Nid1,0.8125,0.9375
Ggh,Pla2g7,0.75,0.875
Ggh,Tln1,0.625,0.9375
Ggh,Adgre5,0.9375,1.0
Ggh,Man2b2,0.8125,1.0
Ggh,Pnliprp1,0.75,1.0
Ggh,Ces2c,0.75,0.875
Ggh,Ighg1,0.75,0.8125
Ggh,Mbl2,0.75,0.9375
Ggh,Flt4,0.75,0.9375
Ggh,Col11a2,0.625,0.875
Ggh,Olfm1,0.75,0.875
Ggh,Itih4,0.8125,1.0
Ggh,Ces2e,0.875,1.0
Ggh,Pdia3,0.6875,0.8125
Ggh,Psma1,0.8125,0.8125
Ggh,Hba,0.8125,0.9375
Ggh,Pgd,0.75,0.9375
Ggh,Antxr1,0.75,0.875
Ggh,Fetub,0.875,1.0
Ggh,Man2a2,0.75,0.875
Ggh,Comp,0.75,0.9375
Ggh,Itga2b,0.875,1.0
Ggh,Ncam1,0.6875,0.8125
Ggh,Prdx2,0.8125,0.9375
Ggh,Fn1,0.6875,0.8125
Ggh,Igfbp4,0.75,0.875
Ggh,Itgb1,0.75,0.9375
Ggh,Tuba1b,0.75,0.875
Ggh,Hbb-b1,0.8125,0.875
Ggh,Itga2,0.75,0.8125
Ggh,Me1,0.75,0.9375
Ggh,Hgfac,0.875,1.0
Ggh,Itih2,0.8125,0.875
Ggh,Neo1,0.6875,0.9375
Ggh,A2m,0.75,0.875
Ggh,Pgam1,0.6875,0.8125
Ggh,P4hb,0.8125,1.0
Ggh,Cd44,0.6875,0.9375
Ggh,Psmb3,0.75,1.0
Ggh,Arhgdia,0.875,0.875
Ggh,Apob,0.6875,0.875
Ggh,Lrrn4,0.625,0.875
Ggh,Ces2a,0.6875,0.875
Ggh,Hp,0.6875,0.875
Ggh,Tfpi,0.8125,0.9375
Ggh,Cela2a,0.625,0.875
Ggh,Asl,0.8125,0.875
Ggh,Apof,0.8125,0.875
Ggh,Bpgm,0.8125,0.9375
Ggh,Dpp4,0.75,0.8125
Ggh,Gpx1,0.75,1.0
Ggh,Cdh17,0.6875,0.8125
Ggh,F2,0.6875,0.875
Ggh,Efemp2,0.75,0.875
Ggh,Erap1,0.6875,0.8125
Ggh,Apoh,0.6875,0.8125
Blmh,Fuca1,0.6875,0.75
Blmh,Spp1,0.5,0.75
Blmh,Adipoq,0.875,0.875
Blmh,Serpina3c,0.6875,0.75
Blmh,Plxdc2,0.8125,0.8125
Blmh,Actr3,0.8125,0.8125
Blmh,Amy1,0.6875,0.75
Blmh,Antxr2,0.75,0.9375
Blmh,Tmsb4x,0.625,0.8125
Blmh,Ces1c,0.75,0.8125
Blmh,Ctsz,0.8125,0.8125
Blmh,Dnpep,0.8125,0.875
Blmh,Amy2,0.6875,0.75
Blmh,Ambp,0.875,0.9375
Blmh,Lbp,0.5625,0.8125
Blmh,Actb,0.6875,0.875
Blmh,Hspa5,0.75,0.875
Blmh,Chga,0.75,0.75
Blmh,Dspp,0.8125,1.0
Blmh,Tagln2,0.8125,0.8125
Blmh,Cfb,0.8125,0.875
