Gene 1,Gene 2,cv,train
Uggt1,Mrpl19,0.75,0.875
Uggt1,Dazap1,0.75,0.875
Uggt1,Slc27a1,0.875,0.875
Uggt1,Acot9,0.75,0.9375
Uggt1,Capza2,0.8125,0.9375
Uggt1,Cdc37,0.8125,0.875
Uggt1,Clpp,0.8125,0.9375
Uggt1,Ctbp1,0.75,0.875
Uggt1,Gtf2i,0.75,0.875
Uggt1,Fkbp3,0.75,0.875
Uggt1,Rbm39,0.75,0.875
Uggt1,Eif4b,0.75,0.875
Uggt1,Syncrip,0.6875,0.875
Uggt1,Akr1c6,0.8125,0.8125
Uggt1,Dbn1,0.875,0.875
Uggt1,Mrpl14,0.6875,0.8125
Uggt1,Cobl,0.75,0.8125
Uggt1,Smc3,0.875,0.9375
Uggt1,Bsg,0.75,0.8125
Uggt1,Gcdh,0.8125,0.9375
Uggt1,Adhfe1,0.875,0.9375
Uggt1,Pepd,0.75,0.875
Uggt1,Cwc22,0.6875,0.8125
Uggt1,Col6a6,0.8125,0.875
Uggt1,Clic5,0.875,0.875
Uggt1,Txnl1,0.625,0.8125
Uggt1,Cisd1,0.75,0.8125
Uggt1,Aldoc,0.75,0.8125
Uggt1,Abhd5,0.75,0.875
Uggt1,H1-5,0.75,0.8125
Uggt1,Ica,0.75,0.875
Uggt1,Ppp1r12b,0.75,0.8125
Uggt1,Mecr,0.8125,0.9375
Uggt1,Mgst3,0.9375,1.0
Uggt1,Mpc1,0.75,0.875
Uggt1,H2az1,0.6875,0.75
Uggt1,Gstz1,0.75,0.875
Uggt1,Tmsb10,0.75,0.8125
Uggt1,Atl3,0.75,0.75
Uggt1,Eif3d,0.75,0.875
Uggt1,Tmem65,0.875,0.9375
Uggt1,Eif2s3x,0.75,0.8125
Uggt1,Hmgb2,0.8125,0.875
Uggt1,Fn3krp,0.75,0.875
Uggt1,Tmed5,0.75,0.875
Uggt1,Agk,0.75,0.8125
Uggt1,Cfd,0.75,0.875
Uggt1,Pla2g7,0.8125,0.875
Uggt1,Rbbp7,0.875,0.9375
Uggt1,Cnp,0.8125,0.8125
Uggt1,Tceal5,0.75,0.875
Uggt1,Usp13,0.75,0.8125
Uggt1,Samm50,0.6875,0.8125
Uggt1,Iba57,0.75,0.75
Uggt1,Ybx3,0.75,0.8125
Uggt1,Clic1,0.75,0.875
Uggt1,Tomm40,0.875,0.9375
Uggt1,Bcat2,0.75,0.875
Uggt1,Nubp2,0.6875,0.8125
Uggt1,Ldhc,0.75,0.875
Uggt1,Pgm2l1,0.875,0.9375
Uggt1,Ttc1,0.8125,0.9375
Uggt1,Eif2b4,0.75,0.8125
Uggt1,Ace,0.625,0.9375
Uggt1,Acad10,1.0,1.0
Uggt1,Sdhd,0.8125,0.875
Uggt1,Rps16,0.75,0.8125
Uggt1,Cyc1,0.9375,1.0
Uggt1,Sp100,0.75,0.75
Uggt1,Ldb3,0.6875,0.8125
Uggt1,Ampd1,0.75,0.875
Uggt1,Ppil1,0.75,0.8125
Uggt1,Hnrnph1,0.75,0.8125
Uggt1,Scoc,0.75,0.8125
Uggt1,Plin5,0.6875,0.9375
Uggt1,Rras2,0.875,0.8125
Uggt1,Eif2s2,0.625,0.75
Uggt1,Reep5,0.8125,0.8125
Uggt1,Ube2f,0.75,0.8125
Uggt1,Ociad1,0.75,0.8125
Uggt1,Ciao2b,0.6875,0.75
Uggt1,Fdps,0.6875,0.875
Uggt1,Cat,0.9375,1.0
Uggt1,Srrm1,0.875,0.875
Uggt1,Rpl4,0.75,0.875
Uggt1,Pmpca,0.875,0.875
Uggt1,Zc3h15,0.8125,0.8125
Uggt1,Rcc1,0.75,0.875
Uggt1,Chchd3,0.75,0.875
Uggt1,Fdx2,0.75,0.75
Uggt1,Eif1,0.6875,0.8125
Uggt1,Cox6c,0.6875,0.8125
Uggt1,Rad21,0.75,0.875
Uggt1,H1-0,0.75,0.875
Uggt1,Nmral1,0.75,0.875
Uggt1,Nnt,0.75,0.875
Uggt1,Ssb,0.875,0.9375
Uggt1,Dnajc11,0.625,0.8125
Uggt1,Snx6,0.75,0.875
Mrpl19,Dazap1,0.875,1.0
Mrpl19,Slc27a1,0.75,0.9375
Mrpl19,Acot9,0.875,0.875
Mrpl19,Capza2,0.875,0.9375
Mrpl19,Cdc37,0.6875,0.875
Mrpl19,Clpp,0.75,0.8125
Mrpl19,Ctbp1,0.8125,0.8125
Mrpl19,Gtf2i,0.6875,0.8125
Mrpl19,Fkbp3,0.6875,0.8125
Mrpl19,Rbm39,0.75,0.8125
Mrpl19,Eif4b,0.8125,0.8125
Mrpl19,Syncrip,0.6875,0.8125
Mrpl19,Akr1c6,0.75,0.8125
Mrpl19,Dbn1,0.875,0.9375
Mrpl19,Mrpl14,0.75,0.9375
Mrpl19,Cobl,0.75,0.9375
Mrpl19,Smc3,0.75,0.8125
Mrpl19,Bsg,0.875,0.9375
Mrpl19,Gcdh,0.75,0.8125
Mrpl19,Adhfe1,0.9375,0.9375
Mrpl19,Pepd,0.75,0.9375
Mrpl19,Cwc22,0.6875,0.875
Mrpl19,Col6a6,0.75,0.875
Mrpl19,Clic5,0.75,0.9375
Mrpl19,Txnl1,0.9375,0.9375
Mrpl19,Cisd1,0.75,0.875
Mrpl19,Aldoc,0.75,0.8125
Mrpl19,Abhd5,0.75,0.8125
Mrpl19,H1-5,0.75,0.8125
Mrpl19,Ica,0.625,0.8125
Mrpl19,Ppp1r12b,0.5625,0.875
Mrpl19,Mecr,0.75,0.8125
Mrpl19,Mgst3,0.9375,0.9375
Mrpl19,Mpc1,0.5625,0.8125
Mrpl19,H2az1,0.6875,0.875
Mrpl19,Gstz1,0.6875,0.8125
Mrpl19,Tmsb10,0.6875,0.8125
Mrpl19,Atl3,0.875,0.9375
Mrpl19,Eif3d,0.6875,0.8125
Mrpl19,Tmem65,0.8125,0.8125
Mrpl19,Eif2s3x,0.8125,0.875
Mrpl19,Hmgb2,0.75,0.8125
Mrpl19,Fn3krp,0.75,0.8125
Mrpl19,Tmed5,0.75,0.8125
Mrpl19,Agk,0.75,0.875
Mrpl19,Cfd,0.75,0.875
Mrpl19,Pla2g7,0.875,0.9375
Mrpl19,Rbbp7,0.75,0.8125
Mrpl19,Cnp,0.75,0.8125
Mrpl19,Tceal5,0.75,0.8125
Mrpl19,Usp13,0.8125,0.8125
Mrpl19,Samm50,0.8125,0.875
Mrpl19,Iba57,1.0,1.0
Mrpl19,Ybx3,0.6875,0.8125
Mrpl19,Clic1,0.8125,0.875
Mrpl19,Tomm40,0.6875,0.8125
Mrpl19,Bcat2,0.8125,0.875
Mrpl19,Nubp2,0.8125,0.875
Mrpl19,Ldhc,0.75,0.8125
Mrpl19,Pgm2l1,0.75,0.875
Mrpl19,Ttc1,0.8125,0.9375
Mrpl19,Eif2b4,0.75,0.8125
Mrpl19,Ace,0.8125,0.9375
Mrpl19,Acad10,0.75,0.875
Mrpl19,Sdhd,0.8125,0.8125
Mrpl19,Rps16,0.8125,0.8125
Mrpl19,Cyc1,0.8125,0.875
Mrpl19,Sp100,0.9375,0.9375
Mrpl19,Ldb3,0.75,0.875
Mrpl19,Ampd1,0.625,0.8125
Mrpl19,Ppil1,0.6875,0.8125
Mrpl19,Hnrnph1,0.875,0.9375
Mrpl19,Scoc,0.8125,0.875
Mrpl19,Plin5,0.8125,0.8125
Mrpl19,Rras2,0.8125,0.875
Mrpl19,Eif2s2,0.75,0.875
Mrpl19,Reep5,0.75,0.8125
Mrpl19,Ube2f,0.6875,0.8125
Mrpl19,Ociad1,0.625,0.8125
Mrpl19,Ciao2b,0.75,0.8125
Mrpl19,Fdps,0.625,0.9375
Mrpl19,Cat,0.8125,0.9375
Mrpl19,Srrm1,0.75,0.8125
Mrpl19,Rpl4,0.6875,0.8125
Mrpl19,Pmpca,0.8125,0.875
Mrpl19,Zc3h15,0.75,0.875
Mrpl19,Rcc1,0.75,0.875
Mrpl19,Chchd3,0.875,0.875
Mrpl19,Fdx2,0.8125,0.9375
Mrpl19,Eif1,0.8125,0.9375
Mrpl19,Cox6c,0.6875,0.8125
Mrpl19,Rad21,0.75,0.8125
Mrpl19,H1-0,0.75,0.9375
Mrpl19,Nmral1,0.6875,0.8125
Mrpl19,Nnt,0.75,0.8125
Mrpl19,Ssb,0.875,0.9375
