Gene 1,Gene 2,cv,train
Aldoa-ps4,Bcl7a,0.9333333333333332,1.0
Aldoa-ps4,Traf3,0.7999999999999999,0.9375
Aldoa-ps4,Hook3,0.9333333333333332,1.0
Aldoa-ps4,Kif1b,0.8833333333333332,1.0
Aldoa-ps4,Hivep3,0.9333333333333332,1.0
Aldoa-ps4,Stk26,0.8666666666666666,0.9375
Aldoa-ps4,Cyp1a1,0.8166666666666667,1.0
Aldoa-ps4,Eid2b,1.0,1.0
Aldoa-ps4,Akap9,0.7666666666666666,0.9375
Aldoa-ps4,Cep290,0.9333333333333332,1.0
Aldoa-ps4,Crybg3,1.0,1.0
Aldoa-ps4,Lrrc56,0.9333333333333332,1.0
Aldoa-ps4,Dkk3,1.0,1.0
Aldoa-ps4,Shoc2,0.9333333333333332,1.0
Aldoa-ps4,Impdh2-ps,0.9333333333333332,1.0
Aldoa-ps4,Pdss1,1.0,1.0
Aldoa-ps4,Pde10a,0.7999999999999999,0.9375
Aldoa-ps4,Gm7049,0.7999999999999999,1.0
Aldoa-ps4,Wipf3,0.8666666666666666,0.9375
Aldoa-ps4,Dpysl5,0.8666666666666666,0.9375
Aldoa-ps4,Galr2,0.9333333333333332,1.0
Aldoa-ps4,Itgb7,1.0,1.0
Aldoa-ps4,Tph1,0.9333333333333332,1.0
Aldoa-ps4,Gm1980,1.0,1.0
Aldoa-ps4,Dgkh,0.8666666666666666,1.0
Aldoa-ps4,Gm10638,0.8666666666666666,0.9375
Aldoa-ps4,Pbx2,0.7999999999999999,0.9375
Aldoa-ps4,Tnik,0.9333333333333332,1.0
Aldoa-ps4,Twist1,0.8166666666666667,1.0
Aldoa-ps4,Dapp1,0.8666666666666666,0.9375
Aldoa-ps4,Kctd21,0.7999999999999999,1.0
Aldoa-ps4,Dzip3,1.0,1.0
Aldoa-ps4,Dmd,0.8166666666666667,0.9375
Aldoa-ps4,9930104L06Rik,0.8,0.9375
Aldoa-ps4,Tkt,1.0,1.0
Aldoa-ps4,Hoxd10,0.9333333333333332,1.0
Aldoa-ps4,Zfp433,0.9333333333333332,1.0
Aldoa-ps4,Gm9869,0.8666666666666666,0.9375
Aldoa-ps4,Mphosph8,0.8166666666666667,1.0
Aldoa-ps4,Klf12,0.8166666666666667,0.9375
Aldoa-ps4,Plb1,0.8833333333333332,1.0
Aldoa-ps4,Gm28609,0.9333333333333332,0.9375
Aldoa-ps4,Sytl2,0.7999999999999999,1.0
Aldoa-ps4,R3hdm2,0.8833333333333332,1.0
Aldoa-ps4,Taf5,0.9333333333333332,1.0
Aldoa-ps4,Wnk3,0.7999999999999999,0.9375
Aldoa-ps4,Gm32687,0.9333333333333332,1.0
Aldoa-ps4,Dpep1,0.8666666666666668,1.0
Aldoa-ps4,Chd1,0.8166666666666667,0.9375
Aldoa-ps4,Pold3,0.9333333333333332,0.9375
Aldoa-ps4,C2cd5,0.8166666666666667,0.9375
Aldoa-ps4,Kcnk6,0.8666666666666666,1.0
Aldoa-ps4,Ttn,0.9333333333333332,1.0
Aldoa-ps4,Gm26885,0.7999999999999999,0.9375
Aldoa-ps4,B3galt6,0.8833333333333332,1.0
Aldoa-ps4,Fam210a,0.7666666666666666,1.0
